pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_psychicseed,Items_petayaberry,Items_chopleberry,Items_floatstone,Items_focussash,Items_magoberry,Items_figyberry,Items_zoomlens,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_ultraball,Items_twistedspoon,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_stickybarb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_adrenalineorb,Items_weaknesspolicy,Items_utilityumbrella,Items_kingsrock,Items_ironball,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_rockyhelmet,Items_leftovers,Items_mentalherb,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_laggingtail,Items_wiseglasses,Items_ejectpack,Items_nothing,Items_focusband,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_liechiberry,Items_blacksludge,Items_roomservice,Items_blunderpolicy,Items_sitrusberry,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_leafstone,Items_oranberry,Items_flyingmemory,Items_apicotberry,Items_chestoberry,Items_grassyseed,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_sharpbeak,Items_heavyball,Items_damprock,Items_mistyseed,Items_darkmemory,Items_pechaberry,Items_cellbattery,Items_lightclay,Items_softsand,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_diveball,Items_chartiberry,Items_metalcoat,Items_shucaberry,Items_blackbelt,Items_colburberry,Items_terrainextender,Items_muscleband,Items_kasibberry,Items_powerbracer,Items_machobrace,Items_smoothrock,Items_laxincense,Items_occaberry,Items_powerweight,Items_rockmemory,Items_micleberry,Items_silverpowder,Items_oddincense,Items_firestone,Items_passhoberry,Items_dragonfang,Items_firememory,Items_roseincense,Items_cheriberry,Items_jabocaberry,Items_electricseed,Items_bindingband,Items_charcoal,Items_gripclaw,Items_bugmemory,Items_beastball,Items_miracleseed,Items_bigroot,Items_lansatberry,Items_poweranklet,Items_aspearberry,Items_fullincense,Items_cobaberry,Items_mysticwater,Items_lightball,Items_energypowder,Items_poisonbarb,Items_psychicmemory,Items_electricmemory,Items_starfberry,Items_greatball,Items_babiriberry,Items_magnet,Items_yacheberry,Items_protectivepads,Items_powerbelt,Items_payapaberry,Items_shedshell,Items_blukberry,Items_poisonmemory,Items_spelltag,Items_griseousorb,Items_luminousmoss,Items_persimberry,Items_hardstone,Items_habanberry,Items_fossilizeddino,Items_fightingmemory,Items_quickball,Items_rowapberry,Items_cherishball,Items_rawstberry,Items_tamatoberry,Items_shinystone,Items_leppaberry,Items_moonstone,Items_icememory,Items_nevermeltice,Items_icestone,Items_icyrock,Items_adamantorb,Items_masterball,Items_upgrade,Items_pixieplate,Items_snowball,Items_rindoberry,Items_seaincense,Items_waveincense,Items_deepseatooth,Items_waterstone,Items_loveball,Items_chilanberry,Items_tr93,Items_kebiaberry,Items_safariball,Items_ghostmemory,Items_fairymemory,Items_destinyknot,Items_grepaberry,Items_levelball,Items_cloversweet,Items_fossilizedfish,Items_starsweet,Items_fastball,Items_berrysweet,Items_tr68,Items_powerband,Items_tangaberry,Items_dragonmemory,Items_premierball,Items_powerlens,Items_dawnstone,Items_steelmemory,Items_leek,Items_whippeddream,Items_tr47,Items_burndrive,Items_dragonscale,Items_reapercloth,Items_pinapberry,Items_qualotberry,Items_groundmemory,Items_prismscale,Items_tr84,Items_tr71,Items_galaricacuff,Items_deepseascale,Items_goldbottlecap,Items_tr66,Items_fossilizeddrake,Items_grassmemory,Items_tr09,Items_duskball,Items_electirizer,Items_kelpsyberry,Items_rustedshield,Items_watermemory,Items_quickpowder,Items_metalpowder,Items_healball,Items_thickclub,Items_ovalstone,Items_rarebone,Items_parkball,Items_tr60,Items_souldew,Items_lureball,Items_sachet,Items_protector,Items_shockdrive,Items_crackedpot,Items_tr97,Items_lustrousorb,Items_rustedsword,Items_luxuryball,Items_bottlecap,Items_hondewberry,Items_tr86,Items_magmarizer,Items_fossilizedbird,Items_tr61,Items_pokeball,Items_flowersweet,Items_tr65,Items_chippedpot,Items_dousedrive,Items_tr02,Items_tr99,Items_duskstone,Items_tr69,Items_tr91,Items_strawberrysweet,Items_sweetapple,Items_tr00,Items_dubiousdisc,Items_nestball,Items_pomegberry,Items_thunderstone,Items_tr07,Items_tr74,Items_tr43,Items_tr03,Items_tr27,Items_repeatball,Items_sportball,Items_dreamball,Items_moonball,Items_tr72,Items_tr96,Items_lovesweet,Items_tr54,Items_tr56,Items_tr92,Items_tartapple,Items_sunstone,Items_tr94,Items_tr67,Items_netball,Items_tr05,Items_tr87,Items_tr59,Items_tr36,Items_tr04,Items_tr39,Items_tr26,Items_tr33,Items_tr06,Items_tr51,Items_timerball,Items_tr16,Items_tr64,Items_chilldrive,Items_tr76
Dragonite,1804169,296057,3.1604e-06,0.1334769957,,,0.0,,0.0161699257,3.20897e-05,0.0015827263,0.0008161638,0.0002695514,0.0,0.0020155036,,,7e-10,0.3626411349,0.6104391755,0.0,0.0,2.9389012375,0.0827255228,6.1e-09,1e-10,10.6345179841,,0.0093998943,,229.6154285165,3.60364e-05,0.090905368,7.63572e-05,0.0815774993,3.4659570352,1.911e-07,0.8034936377,0.0626710167,0.0003908794,0.0,,0.0,0.0,0.0254133725,1.41e-08,0.0021570696,3.87775e-05,0.000457925,0.00010816,,0.0,0.0,8.5436e-06,,1.03e-08,0.0450793541,0.0788342916,1.8621744034,2.5521986545,0.0008353988,1.483e-06,0.0,0.0,0.0012483021,0.0,0.0001573479,0.0027045899,,,0.0,1.4487e-06,0.0,0.0013216872,0.0,0.0,0.0068405422,0.0011050817,0.0031799246,,4.95206e-05,0.0,,0.0,0.0,0.0632053167,6.51e-08,0.003215804,0.0,0.0293238914,,0.0,0.0,,1.2e-09,,,0.0016421279,,,,,0.0,,0.0,,,,,,,0.015507928,0.0,,,0.0,0.0042725279,0.000858343,4.065e-07,6.072e-07,,,,,0.0,,,,,0.0,0.0,,0.0,7.7321e-06,,,,,2.7095e-06,0.0263105127,0.0528332927,,,,,,,,0.0,0.0008770657,0.0,5e-10,,,,,,0.0,,0.0,,,0.0,1.0797e-06,,0.0,4.4e-09,2.6492e-06,,,2.03e-08,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,4.967e-07,,,,,0.0,,,,2.104e-07,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,3e-10,,4e-10,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarude,1804169,41520,0.0,0.0,0.0,,0.0,,0.0057162407,0.0,3.718e-06,0.0,,0.0,0.0,,,,0.0008979009,6.5776892662,0.4924005895,,0.0079115127,0.0071767954,0.0,1.52e-08,0.1206524214,,3.71504e-05,0.0,18.8094958283,0.0357044844,0.0001516308,4.72e-08,0.0103841781,73.2579226459,1e-10,4.3913671193,0.0,0.0001568827,0.0,,0.0,0.0,0.0551312892,,0.0,,5.03575e-05,0.0,,0.0,0.0,0.0,,,0.0061735619,0.0005968984,2.4345057103,5.4968e-06,0.0941075139,0.0,,0.0,6.5e-09,,0.0096059004,0.0,,,,,,1.945e-07,5.19908e-05,,0.0,0.0,0.0,,,0.0156392373,7.586e-07,,9.595e-07,,,1.6e-09,5.28011e-05,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0858146622,,,0.0,,,,,,,1.5878058693,,0.0,0.0,,,0.0,,,3.0039951022,2.90135e-05,,,,,,,0.0,,,,,,,,,0.0,1.63864e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08e-08,,,,,,,,,,0.0,,,0.0031893089,,,,,,,,,,,,,,,,,,,,,0.0,,0.0003419867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,1804169,82066,0.0,6.12168e-05,0.0,0.0,0.0,,1.0927296926,0.0003846249,0.0001554312,0.0005184944,0.0,0.0,3.9e-09,0.0,,6.5186e-06,0.2855366802,0.6153861725,3.9299e-06,,0.1183721009,0.0168368538,,0.0028543366,0.0019511343,0.0,0.0033060531,0.0006077899,12.3107633629,0.1513756147,0.0007990652,0.0044050329,0.5138983994,2.3295566956,3.5e-09,0.658654756,5.40255e-05,1.3569e-06,0.0,,0.0014985467,0.0,0.0040637911,3.8307e-06,,0.0,0.0006442874,0.0,,8.6e-09,6e-10,0.0,,0.0,0.0233080508,0.0475249927,0.0162556187,0.8634423455,0.0085353816,,,3.67379e-05,7.12397e-05,0.0,0.0007473444,,0.0375695134,,,,0.0,0.0099807474,0.0,0.0,,,8.72256e-05,,0.0149537099,0.0,,0.0,7.02065e-05,,0.0,0.0001228938,4e-10,0.0009221833,,0.0027176474,,0.0,,,,0.0325903734,,,,,0.0,,,,,,,,0.0,5.26288e-05,,,0.0,,0.0085927189,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0148398677,,,,,,,,0.0,,0.0,0.1063559921,,,,,,,,,0.0,0.0,,0.0,,,,,2e-10,,,,,,0.0071807114,,,,,,,,0.0,0.0005134017,1.02708e-05,,8.198e-07,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,2.04071e-05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,1804169,11300,2.0179e-06,,0.0,,,,0.0029907861,,7.008e-07,,0.0,,0.0,,,,7.681e-06,0.0147619755,0.0,,9.622e-07,1.19188e-05,,0.0,0.0,,2.21293e-05,,0.0013791494,,0.0,,8.23e-08,1.0125501987,,0.0020539409,,0.0,,,,0.0,1.2582e-06,,0.0,0.0,8.25e-08,,,0.0,0.0,0.0,,,,6.43e-08,7.2221943555,0.0010749734,0.0023983178,,,,0.0,,1.25e-08,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0004947092,,,,,,,,,,,8.88e-08,,,,,,,,,,,,,,0.0451746366,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0072645031,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.478e-07,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtonator,1804169,5416,0.0,,0.0,,,,0.0014221072,0.0004065807,8.5075e-05,0.0003440546,,,,,,0.0001300357,0.0112563059,1.004e-07,,,0.0002701222,4.9069e-06,1e-10,,1.2735e-06,,5.94e-08,,3.5358212084,0.0,4.3257e-06,0.0,0.0073012372,0.0072036229,3e-10,2.508e-07,3e-10,1.15103e-05,0.0,0.0,0.0005496393,0.0174689768,0.0006244845,1.627e-07,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,5.63e-08,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,0.0166455091,,,,,,7.12585e-05,,,,0.0,,,,,,,,,0.0,,,0.0,,5.29608e-05,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9e-09,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,1804169,18519,,0.0,,,,,0.0017978019,0.0,0.0,0.0,1.58156e-05,,4.805e-07,,,0.0,0.0122883881,0.0012205083,1.5e-09,,0.0003741136,0.0025739251,1.09503e-05,,8.2385e-06,,,,0.0669186773,0.0001195169,0.0002286646,0.0,0.0009836319,8.0542804316,5e-10,0.3401449755,0.0,2.713e-06,0.0,0.0,0.0,,4.172e-06,0.0,,,6.52e-08,,,7e-10,0.0,,,,0.0,8.314e-07,0.0,0.0002063583,3.321e-07,,1e-10,0.0,0.0,,2.31e-08,0.0,0.0061555052,,,,,0.0,,,,,,,0.0100629215,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,2.88943e-05,,,,,,0.0055718755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55e-07,,0.0,,,,,,0.0,3.41414e-05,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,1804169,38302,5.831e-07,0.0,,,,,0.1101600066,0.0,2.50326e-05,0.0,6.6e-09,0.0,5.811e-07,,,0.0096963173,0.0361852813,0.3035517401,0.0005403641,,0.0035570305,0.0141110601,0.0003794817,,0.0001397656,0.0,0.0,0.0,1.0791251576,0.0,0.2119292595,0.0004348435,1.35264e-05,0.1484432606,1.0945e-06,0.9388943473,,0.0019232448,0.0,0.0,0.0001222744,0.0,0.0001633507,0.0,,0.0,2.33e-08,,0.0,2.134e-07,0.0,,0.0,8.2615e-06,0.0124647233,0.0003180885,0.0,0.012876653,2.3622e-06,0.0003643896,,1.1146e-05,0.0,3.31261e-05,0.0114349567,,,,,,0.0,1.9895e-06,,,,0.0001641514,,,,,0.0,,,,,3.601e-07,,,,0.0009440038,,4.5e-09,2e-10,1.269e-07,,,0.0003416015,,,,0.0,,,,,,,,1.5e-08,,0.0,,,,,,0.0097335668,,,,0.0,0.0,,,,,1.4e-09,,,,,,,,0.0,,,,1.8e-09,,0.0,,,,0.0010082597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelmet,1804169,409,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,3.2270078036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,1804169,10908,0.0,,,0.0014292295,,,2.282655994,,5.8e-08,,,2.93652e-05,,,,0.0,0.0,0.0148850231,,0.0,0.0002798791,3.99946e-05,,0.0,0.0,,1.894e-07,,0.0038086217,,0.003554053,8.3913e-06,7.6058e-06,0.0010477927,0.0,0.0092205898,0.0,0.0007517421,,0.0,6.286e-07,,4.007e-07,0.0,,,3.06875e-05,,0.0,0.0006535533,0.0,,0.0038074994,,0.0,4.561e-06,0.0145437732,0.0909254406,0.0002307569,0.0,,0.0054915608,,0.0,0.0001122385,0.0,,,,,,,,,,,,,1.146e-07,,,,,0.0002718533,,,,,,,,,,1.875e-07,,,,,,,0.0001225796,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0001109896,0.0,0.003099247,,,,,2.216e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuniclus,1804169,50698,0.0,,6e-09,0.0,,,0.000285337,,0.0,1.25855e-05,,0.0269230479,1.959e-07,,0.0002751557,1.612e-07,31.7257978907,32.0736776456,,0.2108683628,0.0005321956,0.0182380228,,,0.4415978798,,0.0,1e-10,0.0922554022,,0.0482575755,9.07307e-05,2.6318416293,81.6058297278,2.5281e-06,0.0003796942,2.7981e-05,8e-10,0.0,1.5447e-05,0.0,,1.22e-07,,,,0.0,2.2e-09,0.0,5e-10,0.0003156704,,7.96e-08,7.679e-06,0.0,3.7588e-06,7.5e-09,0.0,0.0006673361,1.4599040408,,0.0007852303,1.1e-09,0.0,,,,,0.0,,,,2.004237992,,,,,,,3.22e-07,,,,0.0004764293,,,,,,,,,,0.1948286139,1.88e-08,,1.9287e-06,,,,,,,,,,0.0003406526,,,,,,,,0.0701096952,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribombee,1804169,44570,0.0,0.0,,0.0,,,17.0824431955,,0.0011789911,,,0.0,0.0,,,3.255e-07,1.5009e-06,0.0005669624,,0.0,0.0,0.0230943475,,,0.0,0.0,,0.0,0.7981272448,,0.0009146617,0.0,9.9e-09,0.0118753881,0.0008550163,0.0012674565,0.0022421538,0.0,,0.0247248925,0.0,,0.0008253467,9.40231e-05,,2.46e-08,,,0.0054596321,0.0001427285,0.0036640723,,0.0,,0.0,2.03641e-05,1.5358e-05,0.0,0.0,0.0001023524,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.4204578085,,,,0.0,,0.0,,,,,,0.0,,,,,,2e-09,,,,1.10873e-05,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5.91e-08,,,,,,,,,,,,,,,,,,,,,,,
Heatran,1804169,435490,2.58e-08,0.0096751657,,6.3e-09,0.0371165704,0.0,0.0389786598,0.0004569484,0.0036935812,0.0029095724,2.24319e-05,0.0,0.0001121759,2.51735e-05,,10.3100342321,2.021098215,0.0626260713,0.0,,0.0967095797,0.0374052338,6.35e-08,0.0,0.0019098505,0.0,1.73591e-05,5.21271e-05,0.3940734438,17.6888673798,20.7371821245,0.0029496015,0.0384483966,694.6194728039,2.6718e-05,44.6232671495,0.0021474659,1.593e-07,,,0.0,0.0308167229,0.0044091837,2.313e-07,,0.0,1.0897e-06,,,0.0,0.0,,4.87098e-05,0.0007409456,0.0148966241,0.0113229811,0.4176781786,0.0005044278,0.0237497739,5.077e-06,0.0449628439,3.314e-07,0.0016540835,6.13e-08,4.7e-09,0.0004576631,,,,,1.32394e-05,0.0067082311,0.0448380462,,,0.0482220562,,,,0.0,,,,,0.0002725562,8.7901e-06,,,,0.0,4.31244e-05,1.7436853351,0.0,,,,,,,,0.0,,,0.0,,,,,0.0004434128,,0.0003980334,,,,0.0,0.0004830381,8.0447964618,2.22694e-05,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Tyrantrum,1804169,12011,,,,,0.0020521093,,0.0109175618,0.0,9e-10,2e-10,,2.2806e-06,0.0,,0.0,0.0,0.014451249,0.4193951529,0.00280957,,0.0698354533,5.013e-07,,,0.9737670649,,6.38e-07,,0.0244963551,0.0,0.0001652064,0.1565439868,0.0022712621,0.0008205445,,0.1188790276,0.0,4.2e-09,,,,7.05e-08,7e-10,,,,0.0,,,,0.0,1.096e-07,,0.0,0.0,9.729e-07,3.9926723323,0.0064102236,0.0,0.0,,,0.0,,5.1975e-06,,,,,,,0.0,,,0.0,,,,,,,,,,0.0019802952,0.0,0.0001025885,0.0,,,,0.0,,,,0.0151792866,,,,,,,,,,,,,0.0,0.0001939361,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.756e-07,,,,,,,,,0.0,0.0084951514,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,1804169,486260,0.0001278527,0.0015204935,0.0,0.0022170289,,,1.3111609236,0.0050192095,0.0098538977,1.9918e-06,2.38377e-05,3.76205e-05,0.0031136906,,,5.1396e-06,0.7672341671,96.5572395948,0.0,0.0,0.7328453341,0.0469539588,0.0051246474,0.0,4.9589706798,,0.0012272293,3.3e-09,132.959236047,0.1583366346,141.8997110243,0.0034498817,0.0160380655,103.8154338405,0.0005586507,18.6745698858,0.000453579,0.0002016593,0.0006489479,8.68649e-05,0.0015109402,0.0175160617,0.0993295087,0.0002696256,0.0,0.0034646854,0.0036053194,1.727e-07,0.0,0.0013625484,0.0321858182,0.0010455099,0.0,6.847e-07,5.75763e-05,0.0823428955,39.9908820025,0.3581763342,0.019336822,0.0001821997,0.0,3.9307e-06,0.0006079555,0.0,0.0045350516,0.0,,,0.0,,0.0,0.0003035976,0.0,0.0,0.0009413419,,0.0,,,0.0004415143,0.0002041942,1.1236e-06,0.0,0.6648891802,,0.0276281712,,,,,1.0144e-05,0.0,0.0002990998,0.0922622955,,0.1233591714,0.0160463562,,,,0.0006214781,,,,,0.0007432596,0.0,,,0.6109988665,,,0.0,1.41186e-05,0.0285539916,2.5e-08,0.0005565995,0.0,,,,0.0,0.0009194575,,,,0.0,0.0,5.62e-08,2.26606e-05,0.0,,,0.0,,0.0,0.0,0.0198819035,0.0,,0.0,0.0,,0.0,3.2698144683,0.0002234193,,0.0077600072,0.0,0.0067037891,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,1.8605e-06,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Terrakion,1804169,22913,0.0,2e-10,,,1.9159e-06,,1.8203358442,,8.2e-09,,0.0,,,,,0.0002743665,0.0003745323,5.0571615712,,,0.0034983853,2.59406e-05,0.0,,0.0002237894,,0.0,,0.0,,,6e-10,0.0012248009,0.0231165039,0.0,4.8035860771,5.21528e-05,0.0,3.4606e-06,,,0.0006718841,0.0012014893,,,,0.0,0.0,,0.0,8.5e-09,,0.0,,0.0028439537,2.13512e-05,3.2945352252,0.1184641007,,,,,0.0,,0.0244632538,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0024407221,,,,,3.1763e-05,7.806e-07,,,1e-10,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2723957934,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing-Galar,1804169,25125,,,0.0,1.03e-07,,,0.0065077823,,2.42e-08,0.0,,0.0001977883,0.0,,,2.8603e-06,0.0029576485,0.0051617526,1e-09,,0.0015261498,0.0002381773,,,3.4518e-06,,,,0.1452892517,1.35676e-05,0.0078761834,0.0,3.5130940325,0.1971336166,4.2597e-05,1.208e-07,3.35038e-05,1.864e-07,,,0.0,0.0,0.0041270044,,,0.0,0.0,0.0,,0.1192125618,,0.0,11.9862990592,,,5.25875e-05,0.0,0.0,6.11e-08,0.0,,,6.97e-08,0.0861024658,0.0014323284,0.0,,,,,,0.0,,,,,,,0.0,8.23836e-05,,,,,,8.5119e-06,,,,,0.0,0.0010295687,0.0,,1.8434938999,,,,,,0.0,,,,,,,,,,,,,,,8.812e-07,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardevoir,1804169,38333,1.615e-07,0.0002169061,0.0,0.0006070905,,,0.0102998718,2.638e-07,3.02e-06,0.0,0.0,4e-10,1.56848e-05,,0.0020268705,1.239e-07,0.0055636224,0.0207095366,0.0,,0.0006186765,9.0116e-05,0.0,0.0,4.96994e-05,,0.0,0.0,0.0429148668,3.8e-08,0.9757432079,0.0007770515,0.0013805526,0.0772392803,1.85657e-05,5.5626251802,0.0006316019,0.0143231004,0.0,,4.45435e-05,0.0,0.0004039704,0.0,,,6.7588e-06,5e-09,0.0,0.0,8.03269e-05,,0.0,,0.0096101891,0.0004690006,0.0011417125,0.0128131608,0.0051983582,0.0005091525,8.366e-07,0.001445858,1.706e-07,5.62885e-05,0.0993050846,1.325e-07,,,0.0,,0.0,3e-10,0.0,0.0,,0.0,,,,,,1e-10,,0.0003794599,,0.0,,0.0,,,,,2.96e-08,0.0001502764,1.02736e-05,0.0,0.0001617982,,,,0.0,,,,,,0.0004498422,,,,,0.0,0.0,,0.0,,,,,,4e-08,0.0,,,,,,,,,0.0,0.0,0.0,0.0208879966,,0.0055958078,,,,,0.0,,,,,,,,,,,,,,,,,0.0,8e-10,,,0.0,,0.0,,,,0.0003998252,,,,,0.0,,1.09736e-05,,,0.0002439833,,,3.719e-06,,,,,,,0.0,,,,,,,8.37e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
