pokemon,number_of_battles,Raw count,Items_petayaberry,Items_chopleberry,Items_scopelens,Items_mentalherb,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_figyberry,Items_nothing,Items_blukberry,Items_brightpowder,Items_razorclaw,Items_toxicorb,Items_dragonfang,Items_wikiberry,Items_spelltag,Items_chestoberry,Items_electricseed,Items_airballoon,Items_focusband,Items_flameorb,Items_lifeorb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_ironball,Items_weaknesspolicy,Items_kingsrock,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_focussash,Items_assaultvest,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_leppaberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_twistedspoon,Items_roomservice,Items_blunderpolicy,Items_fullincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_cellbattery,Items_throatspray,Items_adrenalineorb,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_blacksludge,Items_oranberry,Items_blackbelt,Items_colburberry,Items_flyingmemory,Items_apicotberry,Items_shedshell,Items_grassyseed,Items_sharpbeak,Items_chartiberry,Items_blackglasses,Items_stickybarb,Items_muscleband,Items_ganlonberry,Items_rockincense,Items_ejectpack,Items_heatrock,Items_leek,Items_heavyball,Items_persimberry,Items_mistyseed,Items_redcard,Items_berryjuice,Items_metalcoat,Items_whiteherb,Items_marangaberry,Items_liechiberry,Items_safetygoggles,Items_starfberry,Items_roseliberry,Items_shellbell,Items_shucaberry,Items_lightclay,Items_terrainextender,Items_kasibberry,Items_icyrock,Items_machobrace,Items_mysticwater,Items_powerlens,Items_steelmemory,Items_zoomlens,Items_smoothrock,Items_occaberry,Items_laxincense,Items_silverpowder,Items_burndrive,Items_ultraball,Items_firestone,Items_passhoberry,Items_firememory,Items_luminousmoss,Items_cheriberry,Items_shockdrive,Items_bigroot,Items_charcoal,Items_bottlecap,Items_deepseatooth,Items_bugmemory,Items_pechaberry,Items_miracleseed,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_masterball,Items_poisonbarb,Items_jabocaberry,Items_waveincense,Items_protectivepads,Items_gripclaw,Items_energypowder,Items_lightball,Items_electricmemory,Items_oddincense,Items_floatstone,Items_yacheberry,Items_payapaberry,Items_poisonmemory,Items_pixieplate,Items_tangaberry,Items_chippedpot,Items_dragonmemory,Items_hardstone,Items_groundmemory,Items_fightingmemory,Items_leafstone,Items_rowapberry,Items_rawstberry,Items_powerbracer,Items_deepseascale,Items_softsand,Items_tr95,Items_nevermeltice,Items_icestone,Items_babiriberry,Items_bindingband,Items_seaincense,Items_fastball,Items_snowball,Items_habanberry,Items_kebiaberry,Items_ghostmemory,Items_pokeball,Items_fairymemory,Items_tr09,Items_powerweight,Items_micleberry,Items_roseincense,Items_waterstone,Items_ovalstone,Items_poweranklet,Items_tr93,Items_crackedpot,Items_prismscale,Items_psychicmemory,Items_ribbonsweet,Items_powerband,Items_healball,Items_protector,Items_tr81,Items_levelball,Items_goldbottlecap,Items_whippeddream,Items_darkmemory,Items_upgrade,Items_dragonscale,Items_rarebone,Items_tr98,Items_greatball,Items_rindoberry,Items_tr38,Items_lustrousorb,Items_rockmemory,Items_souldew,Items_rustedsword,Items_tartapple,Items_powerbelt,Items_aspearberry,Items_tr51,Items_tamatoberry,Items_grassmemory,Items_adamantorb,Items_tr65,Items_watermemory,Items_quickball,Items_quickpowder,Items_metalpowder,Items_duskball,Items_thickclub,Items_chilanberry,Items_grepaberry,Items_tr67,Items_fossilizedbird,Items_tr00,Items_tr15,Items_tr66,Items_cloversweet,Items_thunderstone,Items_sachet,Items_tr43,Items_icememory,Items_rustedshield,Items_tr62,Items_repeatball,Items_electirizer,Items_dreamball,Items_starsweet,Items_cherishball,Items_lovesweet,Items_fossilizedfish,Items_tr11,Items_tr17,Items_tr22,Items_tr57,Items_tr03,Items_tr36,Items_tr44,Items_premierball,Items_shinystone,Items_berrysweet,Items_flowersweet,Items_luxuryball,Items_parkball,Items_moonstone,Items_safariball,Items_qualotberry,Items_timerball,Items_tr20,Items_tr06,Items_galaricacuff,Items_sweetapple,Items_destinyknot,Items_dousedrive,Items_tr24,Items_fossilizeddrake,Items_tr28,Items_griseousorb,Items_magmarizer,Items_diveball,Items_tr85,Items_sportball,Items_tr71,Items_tr69,Items_dawnstone,Items_sunstone,Items_tr47,Items_kelpsyberry,Items_tr91,Items_tr31,Items_tr29,Items_tr89,Items_tr60,Items_pomegberry,Items_nestball,Items_tr53,Items_pinapberry,Items_tr94,Items_moonball,Items_netball,Items_tr46,Items_chilldrive,Items_duskstone,Items_reapercloth,Items_hondewberry,Items_loveball
Avalugg,1345731,9672,,,,0.0,0.0490249757,0.0,,2.44825e-05,4.5105e-06,,,,,,0.0,,2.1751e-06,,0.0,,,,0.0,8.07464e-05,,0.0,0.0017150676,0.0,3.6e-09,,2.0437279152,0.0,1.05731e-05,,0.0903544079,0.0,0.0,,,0.0,0.0038944464,,,0.0,0.0,,,,,,,,,,0.0001410703,1.3992e-06,0.0,,,,0.0,,,,,,0.0,,,,9.213e-07,,,,,,,0.0,1e-10,,,,,,,,0.0,,,,,,,,,0.0,,6.18006e-05,,,8.7e-09,,,,,,,0.0,2e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024061596,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talonflame,1345731,15567,,0.0,0.0,0.0,7.83e-08,0.0,,0.0001347739,0.0074474316,,0.0001137522,8.53e-08,7.21024e-05,,0.0,,1.4595e-06,0.0,3.489e-07,,4.221e-07,0.0269367896,1.11193e-05,0.0014525999,0.0,,1.5e-07,1.8772e-06,9.79634e-05,,0.9834369882,3.93675e-05,0.0046350272,0.0,0.1180554546,0.0015405221,2.57715e-05,,,0.0404339963,7.32317e-05,0.0,,0.0,,,,3.5791e-06,,,,0.0,8.1887e-06,,0.076603761,0.0,1.07252e-05,0.0,,,,1.7e-09,0.0,,,,,,,,,,0.0001006204,0.0219018803,0.0014963538,,1.1e-09,5.50811e-05,,,,0.0007173159,,,,,1.1269e-06,2.95117e-05,,0.0,,,5.19e-08,,,0.000131338,,,,,,,,,,0.0,,,,,,,,9.60472e-05,3.87e-08,,0.0,,,0.0001458486,,,,,,,0.0,,,,,,1.006e-07,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyther,1345731,8061,,,0.0,,,,,,1.53443e-05,,0.0,3.88212e-05,,,,,,,,,,1.61909e-05,0.0,1.0566e-05,,,1.52559e-05,0.0,0.0,0.0,0.0368813678,,0.0,0.0,2.79585e-05,0.0002782374,2.8354e-06,,,0.0167674388,8.1e-07,,1.26608e-05,0.711037603,,,,,0.0,,0.0,,,,0.0292410741,0.0,0.0,4.28041e-05,,,,1.9556e-06,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,1e-10,,,,,,0.0,,,,,,0.0,,4e-09,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc,1345731,4613,,,0.0,6.4e-09,7.056e-07,0.0,,0.0,1.40781e-05,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0716295333,0.0014389075,0.0002929618,,,0.0,0.0,7e-10,,1.21e-07,,0.0,1.06e-08,5.085e-07,0.1146767013,0.0,,,1.0806713703,0.0002141163,,6.3e-09,0.0,,,,,0.0,,,,,,0.0738121671,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,2.34375e-05,,3.3652e-06,,,,,,,,,,,,,0.0,,,2e-10,,,,,,,,,,,6e-10,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,1345731,52282,,0.0190371191,,5.6709e-05,0.152327155,4.2e-09,,1.095e-07,0.0005064366,,0.0002956991,0.0,0.0,,9.75768e-05,,0.0010136602,,,,0.0,0.008436188,0.0001548304,0.0013952434,3.1594e-05,,0.000139525,0.0,0.0041298195,0.0,1.387198524,0.0,1.35e-08,0.0,49.1441602057,0.0149292775,2.09395e-05,0.0002150969,1.3e-08,0.0005779911,0.0047601991,,,0.0,0.0,,,,2e-10,,,,,,6.261e-07,1.43281e-05,0.0003470257,,5.074e-07,0.0,,0.0,,,0.0,0.0,,5.795e-06,,,0.0,,,,,0.0005289588,,,,,0.0,0.0001799475,,,,,0.0038058573,0.0,,0.0,6.199e-07,,3.1771e-06,,0.0,1.3e-09,,0.0,,,,,,,,,,,1.038e-07,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,8.874e-07,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9.1087e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,1345731,58301,1.259e-07,,0.0029739685,0.0001355845,0.0001104936,0.000223695,,1.251e-07,3.20084e-05,,0.0002629341,9.47e-07,6.165e-06,,9.63262e-05,,9.1e-09,,1.94374e-05,2.5444e-06,0.0079765303,24.72639167,0.0795906491,0.0012617759,0.0,1e-10,0.0008718461,0.0,0.0003009812,0.0,0.0017833119,0.0009844038,2.2328948166,0.0004028479,0.0210066894,0.0880294576,3.61e-08,,0.0010381329,7.4915585706,0.0003484026,,,1.3621e-05,0.0,3.49e-08,0.0178221821,2.79787e-05,0.0004163651,0.0375561846,7.583e-07,4.24542e-05,,,0.0009272146,0.0001608125,3.92023e-05,0.0,,0.0,0.0,0.0010953136,,,0.0004836683,0.0,2.301e-07,0.0,0.0103452979,,,,0.0,,,0.0,0.0,0.0,2.3898e-06,,,,,,,,0.0,1.66442e-05,,0.0,,,,,,0.000412029,,0.000882641,0.0,1.649e-07,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,4.3e-09,,,,0.0,,,0.012012479,,,1e-10,0.0,0.0002402653,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,1.851e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,1345731,15358,,0.0,,,0.000706228,,,0.0,0.0028217746,,3.94e-08,,7.99822e-05,,0.0,,,1e-10,0.0,0.0,5.8296508355,0.0005219771,0.0004340832,3.5355e-05,,,0.0100524637,0.0004384234,0.0,,0.070983239,0.0,0.0002245921,0.0,0.0087511782,0.2324265191,0.0,,,0.0018510726,0.0010526436,,0.0,2.75853e-05,,,,,0.0,,,0.0152380557,,,0.0706701238,0.0,1.791e-07,,,,,0.0560960276,,,,,0.0,0.0001600679,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,0.000755922,,,,,,,,,,,,,,0.0,,0.0,,6.76177e-05,,,,,,,,,0.0,,,,1.0424e-06,,,,,7.10766e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,1345731,29574,0.0,,0.0,5.78018e-05,0.151299824,2.32844e-05,0.0,1.43627e-05,0.0003089931,,0.0,0.0003900494,,,1.01572e-05,,2.927e-06,,0.0,0.0,5.1396e-06,0.0697569846,0.0221428026,0.1005114959,7.4807e-06,,0.0003466308,0.0,0.0001965153,4.6282e-06,0.0128007044,6.7e-09,0.0003239704,4.34e-08,0.3015469251,0.0229917129,0.0,0.0,0.0,0.5822991611,0.0150235022,0.0,,0.0165401414,2.4e-09,,,0.0,,,,4.814e-07,,,4.8623e-06,1.9615282498,0.0002596827,,,0.0,0.0,0.0,,2.174e-07,,,0.0,0.0,,,,,,,,9.22599e-05,,0.0,,,0.0001677579,,,,,0.0,1.11e-06,0.0,0.0,4.7708590766,,9.3616e-05,,,,1.1825e-05,,0.0,,,0.0,,0.0105106925,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,3.4567e-06,0.0002044574,0.0,,,,,,,,,,,,,,,,,,,,,,,1.1e-09,,,0.0,0.0049623127,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,4.24e-06,,,,,,,,,,,,,,0.0,,,,,,2.1729e-06,,,,,,,,,,,0.0,1e-10,,,,,,,,,,,,,,,,,,,,,,,,8e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togedemaru,1345731,11422,,,0.0,,0.0073779828,,,6.34e-08,0.000909391,,0.0,,,,,,,,0.0004922656,0.0,,0.0029636319,0.0,2.45361e-05,,,0.0304504397,2.0603e-06,5.2e-09,,0.0179549149,0.0,0.0,,0.0475203624,1.69032e-05,0.0,,,0.0007009119,0.0015553218,,,0.0,,,,0.0,,,,0.0,,0.0116357111,0.0002254879,5.431e-07,0.0,,,,5.03e-08,0.0088543877,,,,,0.0,,,,0.0,0.0,,,,,,3.446e-07,,,0.0,,,,,0.0,0.0014149615,0.1524730776,0.0,,,0.0007913068,,,,0.8808685707,,0.0,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0077107338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,1345731,5866,,2.9e-09,,0.0,9e-10,0.0,,0.0,0.0,,,,,,,,,,,0.0,,1.6479784552,0.001438925,5.6056e-06,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,8.5639e-06,0.0061506286,8.79877e-05,0.0007120036,,,0.0004667596,0.0014204179,,,0.0,,,,,1.17754e-05,,,0.0,,,0.4525185946,0.0005694135,,,,,0.0,0.0014034472,,,,,,6e-10,,,,,,,,0.0868394113,,4.094e-07,,,,,,,,,,0.0,,0.0,0.0,,,,7.128e-07,0.0,,,,,,,,,,,,0.0001214407,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,1345731,45799,,,,0.0271313367,2.6388813893,0.0,,0.0,0.5293272088,,0.004973109,0.0,,,3e-10,,1.17e-08,,0.0,,6e-10,3.92468e-05,4.19618e-05,0.0405466335,0.0,,0.0,5e-10,2.505919542,0.0001332063,6.7611376816,0.0,2.5909e-06,,66.0939752315,3.32e-07,1.5965e-05,,0.0,0.0006973955,0.001555459,0.0,,0.0003815328,0.0,0.0,,,0.0001339361,,,0.0,,,0.31478835,0.000615855,5.224e-07,,0.0,1e-10,0.0362146006,,,,,7.49e-08,,,,,0.0,,8.595e-07,,,,,0.0,,,,,,,,,0.0001050766,,,,0.0015890147,,0.0059612417,0.0,,0.0,,,,,,,7.836e-07,,,0.0003353611,0.0023146204,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,5.61828e-05,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0007817371,5e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0805816763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,1345731,18585,7e-10,,0.0,0.0,0.0013552807,1e-09,,6.34885e-05,0.0029228212,,1.11685e-05,1.8112e-06,0.0005879953,,0.0,7.106e-07,8.21e-08,1.979e-07,0.0784581572,1e-10,0.8004032194,0.1310817879,0.000635994,0.0027597594,1.4e-09,,0.0,0.0,0.0005188635,6.9441e-05,0.0915015019,,0.3267225991,0.0,0.0014398056,0.0014526898,8.57597e-05,,3.26054e-05,0.0046747624,0.0002415519,,0.0,1.846e-06,,,,0.0,2.6e-09,,,0.0,,0.0182691543,0.0004731887,0.0,7.61938e-05,0.0016106379,2.05e-08,0.0,,0.0,,,,,0.0,2.94e-08,,,,,,,,,,,,,,2.9124e-06,,,,,,,,9.213e-07,,,,,,,8.92885e-05,0.0763396185,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,6.3e-09,,,,0.0,0.0,2.6219e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapploct,1345731,3329,,,,0.0,0.0,3.4e-09,,0.0,0.0002301908,,0.0003070244,,,,,,0.0002204497,,,,,0.7446007525,3.803e-07,2.1806e-05,,0.0,0.0,0.0,0.0003423558,,8.57e-07,0.0,0.0,,0.1330617722,9.4e-09,0.0001843791,,,0.0001432097,0.0295957626,,,,,,,,0.0,,,0.0,,,0.0060037818,0.0124716463,0.0,,,,0.0,0.0,,,,,,0.0026436261,,,,,,,,0.0,,2.4509e-06,,,0.000650828,,,,,,0.0,,,1.30768e-05,0.004390743,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.19759e-05,,,,,,,,,1.97744e-05,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3.418e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,1345731,244901,,0.0,2e-10,0.0053823529,0.4182367236,0.0007054905,,0.0606200623,0.0348558959,,1.18349e-05,0.0219804456,0.0,0.0335606671,0.0004250526,,0.0067945461,2.7957e-06,7.25e-07,0.0002655313,0.0,1.119028741,0.087985741,0.0282520907,0.0,0.0,9.9280722892,0.0002915122,0.0201950209,0.0007439708,822.9603673488,0.001273848,1.5543185546,5.58803e-05,8.3461996241,1.2474458641,8.31247e-05,,0.0,0.0405653984,0.1520522434,0.0,5e-10,0.0011770882,0.0,,,,0.010507395,,,0.0014325031,,,2.2407000441,1.1625052938,0.0039451107,0.0,,0.0,0.0,0.0518138179,0.0,0.0,0.0,0.0,3.1e-09,0.0,0.0,0.0,1.66e-08,,2e-10,0.0001669895,0.0078247548,0.0,,0.0322491296,,,3.13834e-05,0.0,,0.0,0.0871120402,0.0,0.0041752576,0.0002258694,,7.03197e-05,0.0189284657,0.0002287575,0.0077114917,,0.0,0.0019146272,,0.000314227,0.0,,0.0,0.0,0.0,,,5.84326e-05,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0001014199,,,,0.0,,,5.012e-07,0.0,3e-10,0.0,,0.0002930563,1.08925e-05,0.0034166717,,,0.0,,0.0,0.1525189138,,,,,,6.15551e-05,2.7516e-06,0.0,,,,,,,0.0,,0.0,,0.0,1.5487e-06,,,0.0,0.0018556756,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,1.1752e-06,,,,,0.0003027991,,,,,,,,,,0.0,,,,,,4e-10,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarude,1345731,16693,,0.0,7.5897e-05,3e-10,0.067394998,1.67e-08,,1.0383e-06,0.0002386277,,0.0013753305,,0.0,,2.79997e-05,,1.029e-07,0.0,0.0,0.0,1.108e-07,2.970783614,0.000421401,3.84009e-05,,0.0,1.1968650215,,0.0004089284,,3.1771093057,3.25463e-05,0.0,1.09e-08,31.1337216082,6.7608535254,2.17894e-05,,,0.0037319433,0.0061129821,,,2.1534e-05,,,0.0,,0.0028327125,,,0.0,,,31.3405206507,0.0,0.0005472078,0.0,0.0,0.0004066985,,0.0045963034,,,0.0,,,0.0,,,0.0,,6.7694e-06,,,0.0074149879,,0.0057077447,,,3.977e-07,0.0,,,,1.2789e-06,0.0,,,0.0,5.73e-08,0.0,,,,0.0001759942,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0337969455,,0.0,,,,,,2.02206e-05,0.0,,,,,,,,,,0.0,,,,,,,,1e-10,,,,,,,,,,,,,,,,,,,,0.0116139684,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,1345731,55239,,,2.9864e-06,0.0,0.0063436365,3.54459e-05,,0.0017708084,0.0033652595,,1.2e-09,1.0314e-06,0.0,2.99e-08,2.2765e-06,,0.0263202331,0.0,1.47604e-05,0.0,8.4625e-06,1.1725099251,0.0225751227,0.0639869219,6.9e-09,,0.0014289199,0.0025179305,0.008090056,0.0001035581,6.2835376249,1.1249048076,0.6124917323,0.0014000099,9.5205012278,0.058663533,0.0,,0.0,0.258781241,0.2433583895,,,1.62115e-05,6e-09,,,0.0,0.0049064534,,0.0,8.314e-06,,,0.0545948899,1.8722108216,0.0001220291,0.0001029262,0.0,4.913e-07,0.0,0.0017736941,,0.2008330885,,,,0.0,,0.0,0.0,,0.0,0.0,4.75518e-05,1.14394e-05,,0.000209441,0.0,9.19e-08,,,,,0.0,,0.0003211733,,,0.0,,0.0167276864,0.0,0.0,,0.0035571965,,,,,0.0,,0.0059821967,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,5.63e-08,,,,,,0.0,,1.96412e-05,5.92818e-05,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0001609813,,2e-10,,,9.4414e-06,0.0082370926,,,,,,2.24304e-05,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.00033153,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,1345731,13307,,,,0.0,0.0,,,0.0,0.0001765501,,1.0781e-05,,,2.53468e-05,0.0,,0.0093015489,,,0.0,,0.2347602919,2.15492e-05,2.91e-08,0.0,,0.001921808,0.0,0.0002699417,,0.0098690035,,0.0,0.0,0.9396224125,0.0001328344,,,,0.1415024046,0.0003733048,,0.0,0.0,,,,,0.0,,,0.0,,,11.256009923,0.2617822022,1e-10,,,0.0,,4.96246e-05,,,,,,,,,,,,,0.0,0.0,,7.404e-07,,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0035086954,3.62e-08,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,9.87e-08,,,,,,0.0,,,,,,,,,0.010883769,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtonator,1345731,4081,1.094e-07,,,3.9e-09,0.0113078139,,,0.0,4.85e-08,,,0.0,,0.0,1.249e-07,,0.0248231637,,1.853e-07,,1.32e-08,0.0001764044,0.0,3.02906e-05,,,0.0,0.0,2.03123e-05,,0.002916125,0.0,0.0020255681,0.0,0.0023860368,1.18e-08,,,,0.0035503061,8.94837e-05,,,0.0,,,,,,,,0.0,,,0.0,2e-10,2.703e-07,,,,,0.0005092306,0.0,,,,,,,,,,,,0.0,,,0.0,,,0.0008245844,0.0,,,,0.0,,,,3.0633272147,,,,,,,0.0354012139,,,,,,,,,0.0,,,,,2.254e-07,,,,,,,,,6.447e-07,,,,,,,,,0.0,,,,,5.32e-08,,,,,,,,,,,,,,,,,,,5.9e-09,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,1345731,17377,0.0,,,0.0,0.0211773438,,,5.795e-06,0.000214818,,5.965e-07,8.1334e-06,0.0,,0.047007139,,2.11647e-05,,,,0.0,4.87e-07,6.34885e-05,4.4018e-06,0.0,,0.1065718944,,0.0018662955,0.003579998,0.0172584865,0.0,0.0241283517,0.0,5.0524322673,0.2179149703,0.0,0.0002098845,0.0,5.98061e-05,0.037766376,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,5.145e-07,,1e-10,7.0268e-06,,5.2223e-05,,0.0001112879,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.9e-09,,,,0.0,,0.0003299929,,,0.0,,0.0,,,,,0.0022424616,,,0.0,,,,,,,,,,,,,0.0,,,,,1.3e-09,,,,,,0.0,,0.0,1.21854e-05,2.3e-09,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
