pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_petayaberry,Items_mentalherb,Items_zoomlens,Items_rockyhelmet,Items_lightclay,Items_figyberry,Items_nothing,Items_lumberry,Items_razorclaw,Items_blacksludge,Items_wikiberry,Items_spelltag,Items_nevermeltice,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_stickybarb,Items_apicotberry,Items_chopleberry,Items_aguavberry,Items_adrenalineorb,Items_magoberry,Items_heatrock,Items_choiceband,Items_kingsrock,Items_ironball,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_flameorb,Items_wiseglasses,Items_focussash,Items_focusband,Items_silkscarf,Items_eviolite,Items_whiteherb,Items_ringtarget,Items_pokeball,Items_metronome,Items_liechiberry,Items_iapapaberry,Items_blunderpolicy,Items_bugmemory,Items_magnet,Items_sitrusberry,Items_weaknesspolicy,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_metalcoat,Items_psychicseed,Items_crackedpot,Items_toxicorb,Items_chestoberry,Items_protectivepads,Items_rockincense,Items_blackglasses,Items_muscleband,Items_roseliberry,Items_ejectpack,Items_whippeddream,Items_sharpbeak,Items_heavyball,Items_berryjuice,Items_keeberry,Items_marangaberry,Items_ejectbutton,Items_chartiberry,Items_rockmemory,Items_cheriberry,Items_machobrace,Items_charcoal,Items_shucaberry,Items_oranberry,Items_colburberry,Items_electricseed,Items_terrainextender,Items_kasibberry,Items_electricmemory,Items_oddincense,Items_cellbattery,Items_enigmaberry,Items_steelmemory,Items_smoothrock,Items_fullincense,Items_occaberry,Items_custapberry,Items_silverpowder,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_absorbbulb,Items_shedshell,Items_starfberry,Items_firememory,Items_laxincense,Items_protector,Items_poisonbarb,Items_bindingband,Items_bigroot,Items_gripclaw,Items_pechaberry,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_blackbelt,Items_mistyseed,Items_mysticwater,Items_floatstone,Items_pixieplate,Items_lightball,Items_waveincense,Items_electirizer,Items_masterball,Items_yacheberry,Items_rawstberry,Items_poweranklet,Items_pinapberry,Items_payapaberry,Items_micleberry,Items_dragonfang,Items_persimberry,Items_flyingmemory,Items_icyrock,Items_safariball,Items_burndrive,Items_fightingmemory,Items_sachet,Items_darkmemory,Items_snowball,Items_jabocaberry,Items_leppaberry,Items_babiriberry,Items_icememory,Items_rindoberry,Items_seaincense,Items_lustrousorb,Items_ghostmemory,Items_reapercloth,Items_fairymemory,Items_ultraball,Items_rowapberry,Items_powerweight,Items_grassmemory,Items_tr62,Items_waterstone,Items_chilanberry,Items_luminousmoss,Items_chippedpot,Items_tangaberry,Items_leafstone,Items_tr15,Items_powerband,Items_kelpsyberry,Items_energypowder,Items_healball,Items_moonstone,Items_dragonmemory,Items_blukberry,Items_watermemory,Items_fastball,Items_beastball,Items_leek,Items_powerbracer,Items_habanberry,Items_ovalstone,Items_softsand,Items_poisonmemory,Items_psychicmemory,Items_prismscale,Items_dawnstone,Items_dragonscale,Items_fossilizedbird,Items_dreamball,Items_repeatball,Items_greatball,Items_deepseascale,Items_sweetapple,Items_groundmemory,Items_tr38,Items_tr30,Items_adamantorb,Items_premierball,Items_tr71,Items_destinyknot,Items_tartapple,Items_galaricacuff,Items_tr98,Items_kebiaberry,Items_upgrade,Items_hondewberry,Items_roseincense,Items_luxuryball,Items_tr65,Items_tr10,Items_flowersweet,Items_quickpowder,Items_metalpowder,Items_loveball,Items_tr49,Items_thickclub,Items_rarebone,Items_tr36,Items_rustedsword,Items_souldew,Items_tr67,Items_icestone,Items_sunstone,Items_tr33,Items_grepaberry,Items_rustedshield,Items_shockdrive,Items_netball,Items_lureball,Items_quickball,Items_tr02,Items_berrysweet,Items_tr50,Items_diveball,Items_thunderstone,Items_tr03,Items_deepseatooth,Items_tr88,Items_duskstone,Items_aspearberry,Items_moonball,Items_cloversweet,Items_tr93,Items_goldbottlecap,Items_tr11,Items_tr64,Items_tr06,Items_tr40,Items_timerball,Items_tr28,Items_friendball,Items_griseousorb,Items_tr58,Items_shinystone,Items_fossilizeddino,Items_nestball,Items_tr68,Items_qualotberry,Items_tr00,Items_chilldrive,Items_lovesweet,Items_tamatoberry,Items_dousedrive,Items_powerbelt,Items_tr20,Items_tr66,Items_tr87,Items_ribbonsweet,Items_parkball,Items_tr97,Items_sportball,Items_starsweet,Items_tr43,Items_tr39,Items_fossilizeddrake,Items_bottlecap,Items_tr44,Items_duskball,Items_tr04,Items_cherishball,Items_tr05,Items_tr18,Items_tr53,Items_tr60,Items_tr47,Items_tr99,Items_tr08
Togedemaru,1398223,9166,0.0,0.0,,,,0.0298431671,,0.0025026011,6.308e-07,0.0,,0.0,,,,,0.0030700077,0.0017897254,0.0,2.4e-09,,,,3.783e-05,0.0023411651,,,2.08759e-05,0.0,,,0.2874455212,,,,0.0011552635,0.0094970695,0.0004289565,5e-10,0.0,,0.0004454304,0.0,,0.0,,,,,0.0,0.0,0.0,,2.7198e-06,0.0,0.0807593945,,0.0,,,1.4476049124,,0.0494564361,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,,,0.1360469969,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,0.0089333502,,,,,,0.0007734443,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,1398223,5564,0.0,,,0.0,0.0,0.0131820689,,9e-10,0.0,0.0002252573,1.72e-08,,,,,,,0.2195543313,0.0010416916,0.1023193897,,,0.0,9.09063e-05,0.0,0.0,,3.5898498739,1e-10,0.0,,0.0,0.0,0.0,0.0,0.0004612492,0.0002963207,0.0,0.0,0.0,,2.6575e-06,,,0.0011990879,,,,0.0,,0.0014577012,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0001238768,,,,,,,0.0,,,3.5693e-06,7.8485e-05,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,9.202e-07,,,,,,,,,,,,,,,7.6363e-06,,,,,,,8.76086e-05,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35333e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,1398223,48926,,1.179e-07,,0.0,0.0,1.2570891705,,0.0002036111,0.0006420967,0.0281861241,,0.0,0.0,,,0.0,6.9682e-06,0.0014651876,0.001507583,0.0005772723,,,,0.0076040621,,0.0,,0.0139054798,0.0,,6.32494e-05,78.059774001,0.0,3.21e-08,0.0,211.7438558444,1e-10,9.52673e-05,0.0005732618,5.822e-07,,0.0004589256,,0.0,0.0,0.0,,,0.0,0.0,0.0002143714,9.06711e-05,,,0.0531474932,0.0,0.0,,,0.0008892555,,,0.0,,,,,,0.0,0.0039794793,,,,0.0,,0.0,,,,0.0,0.0173732382,9.7874e-06,,,,,,0.0,,,,0.0,,,,,1.1566e-06,0.0,,0.0,,,,,,,,3.965e-07,0.0,,,0.0,,,0.0041471035,,0.0,0.0,,0.0,,,0.0,,,,0.0030856153,,,,9.8e-09,,,,,,,,,,,,,,,,,,,,,,,0.0094380317,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,1.745e-07,,,,1.5137e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,1398223,25097,0.0,0.0,1e-10,0.0,0.0,3.43888e-05,0.0013633902,0.0,2.73424e-05,0.0,0.0,,0.0001935701,,,,0.0336269177,2.64698e-05,0.0005700422,0.147893901,,,0.0,0.0092597957,0.0,0.0,1.64022e-05,4.552e-07,0.0,,0.0031270672,0.0008425138,,0.5254627647,0.0,0.0072064306,0.0014346757,,2.6538e-06,6.3650989498,1.55e-07,0.0047449117,0.0,,0.0,5.0645e-06,,,0.0,,0.0,1.95056e-05,,0.002526262,0.0,0.0054138581,,,0.005214246,0.0,,,0.0001280512,,,,,,5e-10,0.0,,,,0.0,,,,,,,,,0.0,,,4e-09,,,0.0002253208,,,0.0,0.0,,1.68351e-05,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,1.91e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.542e-07,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,1398223,252654,1e-10,0.0003200867,0.0002199087,8.50252e-05,0.0,0.3994127136,0.0001216727,0.0139345965,0.0216436026,3.6644617868,0.0,0.0,0.0002108699,,0.0,1.69426e-05,0.0,0.1731712893,3.9418231658,0.3898641574,,0.0,,0.0219507885,0.0,0.0022395376,0.0,5.5824401043,0.0003613387,1.2e-09,2.26e-08,876.0888613922,0.0001155455,2.4073836378,0.0600287965,4.3915896624,0.6525042896,0.0206236888,8.02498e-05,0.0,0.0,0.0140020359,0.01022225,0.0410063713,3.87171e-05,0.0001753978,,,0.1397515628,6.88418e-05,0.0001612291,0.0075377823,,1.66888e-05,0.0223594583,7.1427029095,,,0.0,0.2864457035,0.0001193016,0.0,4.14518e-05,0.0002551726,1.02552e-05,,,,0.0,0.000136328,0.0,,0.0,0.0022643995,0.0004010605,5.49329e-05,,2.032e-07,0.0,2.63182e-05,0.0,0.0,0.0,0.0,,0.0,,1.15747e-05,,4.548e-06,,4.083e-07,,,,,0.0,0.0,,,,,2.054e-07,,,,,0.0,0.0,,,,,,0.0,0.0,2.85038e-05,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,4e-10,0.0,,0.0,0.0541061642,3.68e-08,,,,1.619e-07,0.0145596133,0.0317674651,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,1.274e-06,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Zarude,1398223,18802,0.0,,,0.0,0.0,1.84071e-05,,1e-10,0.0039537953,7.08136e-05,,,1.27015e-05,,,4.69135e-05,,0.0645767895,0.0064693499,0.1132346177,0.0,,0.0001820756,0.0012853451,0.0,7.22684e-05,0.0,13.2641285678,0.0,,,1.5112240379,2.3e-09,0.0,0.0,49.1364052152,0.4720309584,0.0,0.0,0.0,,4.4e-09,,,5e-10,3.467e-07,,,0.0,,0.0,5.54636e-05,,,3.81377e-05,2.7105436284,,,,4.64e-08,0.0,,1.81813e-05,,,,1e-10,,,0.0,0.0057325166,,0.0001842291,1.1103e-06,,0.0,,,,,,3e-10,0.0,,,,,,,,,2.05175e-05,,,,,,,,,,2.2e-08,,,,,,,,,,0.0003358872,,,,,,,1.380104211,,,,,,0.0015737951,0.8218752562,,,,,,,0.0,,,,,,,,,,,,,,,1e-10,,,,,,,,,,,,,,,0.0,,,,,,0.0006735432,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037895825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,1398223,59527,4.53545e-05,0.0011794259,0.0,0.0,,0.3309429016,,0.0021980562,0.0012487195,0.3408309974,0.0,,0.0,,1.07489e-05,3.1e-09,0.0,0.0131032178,0.0665847227,0.54313319,,,1.574e-07,0.0100336481,8.5118e-06,0.0002764332,,0.055026294,7.44653e-05,,0.0002641443,3.2748661993,0.0357370002,1.4176347398,4.8888e-05,5.9335413387,0.1170326592,7.6e-09,0.0035084105,0.0004053294,0.0243153819,0.0950908358,0.0,,1.717e-07,0.0058065393,,,0.0371687026,0.0015313201,0.0009466136,2.902e-07,,0.0,0.0110384142,0.0051489596,0.0,,,0.0,0.0021913572,,0.0189540875,,0.0620029048,,,,0.0005228886,0.0968698348,0.0005180086,6.1848e-05,0.0,0.0345829277,,,,0.0040988017,,0.0,,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.0577002918,,,,,,,0.0,,,,9.64e-08,,,,0.0,,,,,1.532e-06,0.0,,,,0.0,0.0,,,,0.039076847,,,,2e-10,,0.0,,0.0,,,,,0.001549645,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,4.83e-08,,,,,,,,,,,,,,1.1127e-06,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,1398223,15387,0.0,,,0.0,,0.0,,0.0,0.0,0.0004176161,,,1.0464e-05,,,0.0,,2.03653e-05,0.0102301807,0.0505615241,,,,3.4214e-06,0.0003127318,,0.0,5.8369596114,0.0,,,0.0031706041,0.0,0.0,,4.3005551095,6.43999e-05,,0.0,,,0.2285713522,,,1.47e-08,,,,0.0010739121,0.0,4.8112e-05,,,,0.000115587,0.2300682935,,,,6.20845e-05,0.0,,0.0,,,,,,,0.0432661992,,,,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,1.4436e-06,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,3.9387e-06,,,,,,1.31776e-05,0.0007417577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.8241e-06,0.0,,0.0095529275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,1398223,18018,,0.033734552,,1e-10,0.0,0.0006946539,0.0,1.0856e-06,0.0055620003,0.0,0.0,,0.0001872947,,0.0,,0.0,0.0048571548,0.0002796622,1.4276e-06,,0.0,,0.0017681639,1.66333e-05,,0.0,3.839e-07,,0.0,0.0037270523,0.0396027574,0.0,0.0287303384,3.74399e-05,5.8769413633,0.106868859,0.0,0.0,6.7e-09,4.7879e-06,4.51254e-05,,,4.66442e-05,0.0,,,1.3216e-06,,2.4278e-06,,,,1.267e-07,0.0112578486,,,0.0,7.8048e-06,,,9e-10,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,2.8e-09,0.0,,,,,,,,0.0,,,0.0038428769,,,,1.4e-08,,,,,,,,,,,,,,,,,,,,,,,0.0,7.441e-07,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,1398223,34835,0.0,0.0,,0.0,0.0003960513,0.0002791939,,1.32141e-05,0.0049763496,0.0006093011,9e-10,0.0,8.51625e-05,0.0075300814,,,0.0207218985,0.0026867096,0.000476285,0.0679884238,0.0,,0.0,0.0005825586,0.0,0.0,,1.38026e-05,0.0,0.0,,0.7480971608,0.0,1.638074097,6.481e-07,1.4269810862,3.0924318146,6.1024e-06,9.011e-07,0.000132452,0.0009483426,0.0057784959,0.0,0.0,0.0003180093,3.414e-07,0.0,,0.0,,3.403e-07,0.0066119457,,,0.0171366798,0.0125781713,0.0,0.0,0.0,0.0,0.0,,0.0015459793,,,,,,,0.002356035,,,2.60837e-05,,,0.0,,,,,,,0.0020924646,2.4887e-06,,,,0.006430554,0.0,,1.4e-09,,,0.0,,,,1.04697e-05,,,0.0,,,,,,0.0,1e-10,0.0,,0.0,0.0,,,,,,,0.0004207101,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,1398223,8695,0.0,,0.0,7.913e-07,,0.0,0.002648112,0.0,6.4501e-06,,,,0.0,0.0,0.0009337576,,6.3e-09,0.0,0.000558873,0.0003620382,0.0,,,0.0001483219,,3.8541e-06,,0.0259413829,0.0,,,2.25943e-05,,1.1533289982,7.288e-06,0.0001614198,0.0013429272,,0.0,0.0,0.0,0.5393920927,9.7165e-06,,,,0.0,,,,0.0,0.0,,,2.462e-06,0.0,,9.13437e-05,,0.0198900759,0.0,,0.0,,,,,,3.6774e-06,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0125415539,,,0.0,,,,,,,,0.0,8.8172e-06,,,,,,,3.45e-08,,0.0005043252,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0086248115,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuniclus,1398223,39574,,0.0,0.0,2.457e-07,0.0339937416,1.6484904071,0.0036873641,,0.0114530446,,0.0,0.0,0.0,,,10.1993777044,,26.5643116939,0.0008151384,16.2328173533,0.3377666689,,,0.0019781749,,0.0,,0.0,,,0.0,0.0031822153,0.0,0.0035194392,1.8947e-06,153.0299483862,2.7133937785,0.0011128639,0.0082104304,0.0062749589,1e-10,0.5095202177,,,0.0,,0.0,,0.0,2e-10,8.68567e-05,0.0,,,1.61275e-05,0.2813988746,0.0133756364,0.0,,0.0001756203,0.0,,,1.08821e-05,,,4.4751e-06,,0.0007028101,,,,,,,,,,,0.0,3.1885e-06,0.0003653099,1e-10,,,,,,,,19.091629139,1.1547187529,9.27e-08,0.0,,1.8e-09,,0.0,,,,,,,3.6924e-06,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribombee,1398223,29892,,0.0,,1.50576e-05,,1.8e-09,0.035493323,0.0,5.14167e-05,0.0,,6.5e-09,0.0008078704,,,,0.0,0.0,6.98709e-05,6.02731e-05,0.0024339997,,,4.1662e-06,,5e-10,0.0,0.0004683783,,,,0.065929619,0.0,0.0353157786,2.9375e-06,0.0070872246,0.0089428209,0.0005281268,0.0,0.014906508,2.47418e-05,6.7087534686,0.0,,0.0,,4.97579e-05,,,,0.0,,,,0.0533035468,0.0,,,0.0,7.1e-08,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0002885632,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,4.31e-08,0.0,,,0.0,,,,0.0,,,,,2.334e-07,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatran,1398223,473973,5.99126e-05,0.0104976903,,0.0003200337,0.02067016,5.1876752739,,0.0011871241,0.0609728643,0.0,0.0003368981,,0.0004171633,0.0,,0.0,111.2521643257,3.1454369272,0.1214896181,1.5423799983,0.0,,0.6256972032,0.0353093818,6.7e-09,0.0043877437,0.0024490592,0.014537714,1.4351e-06,0.0,0.0,4.5248839826,24.0896697468,38.7466889202,0.0124748845,997.3712899402,124.2584186252,1.36e-08,0.002243993,1.54887e-05,0.0001622121,8.4304600936,0.0,,1.9378e-06,0.0055814103,,,0.0,0.0,0.0098673906,0.0514776814,,,0.0275750839,0.3954449082,0.0,,0.0631096952,0.0,0.0,,1.36752e-05,0.0004927018,,2.33e-07,0.0,,,2.70935e-05,0.0,,8e-10,1.11255e-05,,0.0002279558,,,,0.0,,,0.0,,,,,0.5689989262,0.4399656411,,0.0,0.0,,,0.0,,,,0.0,,0.0,,2.1545e-06,,,,0.0002673151,0.0016931327,5.99918e-05,,0.0030625767,0.0,,,0.0012112271,,0.0034485167,,,1.11e-08,,0.0,,,,3.5091e-06,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0009504577,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Tyrantrum,1398223,9398,0.0,0.0,,,0.0,5.591e-07,,0.0,4.0567e-06,0.1072164463,0.0,,0.0,,0.0,1.3796e-06,0.0,5.65492e-05,1.09833e-05,0.27412933,,,0.0111926426,0.0008041787,3e-10,0.0,,17.5216645914,0.0,,,0.0012349122,0.0,3.0461e-06,0.0634839359,0.0016311205,0.0949234213,0.0,6.76011e-05,,,0.0327022515,0.0,,,1.492e-07,,,,,0.0,0.0,,,0.000220033,0.738768499,0.0,,,1.116e-07,0.0,,1.0283e-05,,,0.0,,,,1.0889e-06,0.0,0.0008757385,,0.0,,1.303e-07,,,,,,,,,,,,,0.0034953198,,,,0.0,,,1.1e-09,,,,0.0002026756,,,0.0,,,,,,,,,,,,,,,,,0.0225315497,,,,,,,,,,1.4894e-06,,,,,,,,,,0.0001208803,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.4e-08,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,1398223,623819,0.0404394938,0.0023595866,7.512e-07,0.0094006625,0.0,0.0050051783,1.338567332,0.0110680862,0.0451715619,7.5736426354,0.0001433383,0.0,0.0001736432,8.4944130864,,2.14e-07,0.0003315023,0.2488855013,1.2233624565,157.3672534778,,0.0,0.0,0.1330900692,0.0,0.0202024316,,85.3561071753,2.3388463632,,,139.9713049858,0.5985684132,800.9604737055,0.0069482436,124.54354576,17.2434632844,0.0004116151,0.0032757868,1.059e-06,0.0004518964,0.742171907,0.0009490383,0.0001453444,0.0006134693,0.0143721707,2.567e-07,,0.372059917,0.0024804256,0.0218942865,0.0150916875,,,0.0148190491,75.0265320288,2.1e-09,,0.0,1.43453e-05,0.0047781767,0.0,0.000824604,0.0,,0.0,6.04673e-05,,5.56e-08,0.0008139113,0.0001039464,,0.0004210745,0.1426566652,0.0306463194,0.0071459346,,0.0,,2.86071e-05,,,0.0103278107,0.0,,0.0,1.49274e-05,0.0148193031,,0.0,0.0547707189,0.0,,1.5582e-06,,2.9e-09,1.806e-07,1.754e-07,0.0,,,,0.0,,2.979e-07,,,2.82557e-05,0.0,1e-10,,0.0,,0.0,0.0,0.0,2e-10,1.864e-07,,,0.0,0.0,,2.277e-07,7.131e-07,0.0,0.0,,,0.0004745126,,,6.77e-08,0.0024953038,0.0,2.601e-07,,,,3.6475158646,0.0002955881,0.0,,,,,,0.0,0.0,,0.0,4.08879e-05,,,,,9.4e-09,,,0.0,0.0,,,,,8.315e-07,,0.0,,,,,,0.0,,,6.197e-07,1.66553e-05,,,0.0,,,0.0004546685,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,0.0001340569,,0.0,,,,,,,,,,,,,2.37491e-05,,,,,,,,,,,,,,,,,,,,
Terrakion,1398223,33970,0.004318142,0.0029648137,,,0.0,0.0013292111,,2.02306e-05,0.0049662241,0.0083790686,0.0,,0.0,,,0.0,0.0209943899,0.0162396535,0.0280404624,15.6640436133,,,0.1726862577,0.0016223097,5.9526e-06,0.0,,44.8380495791,0.0,,,0.073715257,,,0.0003214853,0.0768347098,4.8338054132,0.0,0.0,0.0,,3.2514495232,0.0,,0.0,3.438e-07,,,0.0,0.0,7.8269e-06,0.067395201,,,2.56e-08,0.0184827304,,,,,1.82116e-05,,0.00169197,,,,,,,4.123e-07,2.78634e-05,0.9029668636,,10.0344374569,0.0,8.36e-07,,,,,1.49009e-05,,0.0,,,,,,8.13494e-05,,9e-10,,,,,,,,,,,,,,,,,,0.3574196719,,,,,,,,,,,1.47e-08,,,,,1.06285e-05,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubwool,1398223,6133,,,,,,8.2501e-06,,0.0,7.76528e-05,7.13565e-05,,,0.0,,,,0.0,0.0,0.0,1.14251e-05,,,0.0,0.0018591833,,1.8e-09,,0.0,,,,0.0,,,,1.7155001576,,0.0,,4e-10,,2.1327e-06,0.0,0.0,0.0,,,,,,3.6e-09,,,,0.0172663086,0.0,,,,0.0,0.0,,0.0019368754,,,,0.0,,,0.0260973589,0.0,,,1.8993e-05,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,3.8352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
