pokemon,number_of_battles,Raw count,Items_scopelens,Items_chopleberry,Items_rockmemory,Items_petayaberry,Items_mentalherb,Items_pechaberry,Items_rockyhelmet,Items_ironball,Items_figyberry,Items_focussash,Items_oranberry,Items_pixieplate,Items_toxicorb,Items_absorbbulb,Items_wikiberry,Items_spelltag,Items_widelens,Items_dragonmemory,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_expertbelt,Items_aguavberry,Items_adrenalineorb,Items_weaknesspolicy,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_blukberry,Items_choicespecs,Items_oddincense,Items_razorclaw,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_nothing,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_leppaberry,Items_ejectbutton,Items_metronome,Items_zoomlens,Items_powerherb,Items_roomservice,Items_blunderpolicy,Items_laxincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_safetygoggles,Items_psychicseed,Items_charcoal,Items_yacheberry,Items_magoberry,Items_ovalstone,Items_keeberry,Items_electricseed,Items_protectivepads,Items_muscleband,Items_shockdrive,Items_roseliberry,Items_heatrock,Items_kingsrock,Items_leek,Items_sharpbeak,Items_heavyball,Items_mistyseed,Items_darkmemory,Items_whiteherb,Items_marangaberry,Items_fullincense,Items_healball,Items_chartiberry,Items_custapberry,Items_blacksludge,Items_payapaberry,Items_poisonbarb,Items_blackbelt,Items_focusband,Items_shucaberry,Items_metalcoat,Items_lightclay,Items_tr25,Items_colburberry,Items_apicotberry,Items_terrainextender,Items_stickybarb,Items_kasibberry,Items_machobrace,Items_luminousmoss,Items_ringtarget,Items_masterball,Items_smoothrock,Items_occaberry,Items_starfberry,Items_silverpowder,Items_hondewberry,Items_berryjuice,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_firememory,Items_cheriberry,Items_bindingband,Items_ejectpack,Items_rowapberry,Items_bigroot,Items_bugmemory,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_babiriberry,Items_cobaberry,Items_liechiberry,Items_energypowder,Items_lightball,Items_electricmemory,Items_gripclaw,Items_electirizer,Items_mysticwater,Items_souldew,Items_fightingmemory,Items_nevermeltice,Items_poisonmemory,Items_poweranklet,Items_beastball,Items_flyingmemory,Items_rockincense,Items_dragonfang,Items_grepaberry,Items_rawstberry,Items_snowball,Items_watermemory,Items_softsand,Items_shedshell,Items_aspearberry,Items_grassmemory,Items_tr24,Items_greatball,Items_cellbattery,Items_ghostmemory,Items_fossilizedbird,Items_rindoberry,Items_seaincense,Items_waveincense,Items_floatstone,Items_jabocaberry,Items_fairymemory,Items_powerweight,Items_habanberry,Items_adamantorb,Items_steelmemory,Items_tangaberry,Items_magmarizer,Items_icyrock,Items_kebiaberry,Items_duskstone,Items_destinyknot,Items_flowersweet,Items_psychicmemory,Items_quickpowder,Items_levelball,Items_micleberry,Items_protector,Items_powerbelt,Items_powerbracer,Items_upgrade,Items_dragonscale,Items_fossilizeddrake,Items_pokeball,Items_parkball,Items_ultraball,Items_groundmemory,Items_persimberry,Items_rustedsword,Items_bottlecap,Items_galaricacuff,Items_ribbonsweet,Items_goldbottlecap,Items_berrysweet,Items_rarebone,Items_leafstone,Items_rustedshield,Items_roseincense,Items_icememory,Items_sweetapple,Items_tr64,Items_prismscale,Items_metalpowder,Items_chilanberry,Items_diveball,Items_thickclub,Items_pinapberry,Items_whippeddream,Items_deepseascale,Items_shinystone,Items_duskball,Items_fastball,Items_chippedpot,Items_tr43,Items_dreamball,Items_kelpsyberry,Items_icestone,Items_tr71,Items_lustrousorb,Items_premierball,Items_luxuryball,Items_tr78,Items_tr16,Items_netball,Items_sunstone,Items_tamatoberry,Items_powerband,Items_cherishball,Items_repeatball,Items_waterstone,Items_pomegberry,Items_dubiousdisc,Items_tr98,Items_tr69,Items_tr10,Items_deepseatooth,Items_quickball,Items_fossilizedfish,Items_griseousorb,Items_burndrive,Items_loveball,Items_starsweet,Items_tartapple,Items_lovesweet,Items_thunderstone,Items_chilldrive,Items_tr00,Items_reapercloth,Items_tr89,Items_tr99,Items_sachet,Items_qualotberry,Items_crackedpot,Items_tr88,Items_tr53,Items_tr15,Items_dawnstone,Items_tr02,Items_safariball,Items_tr08,Items_tr01,Items_tr32,Items_tr19,Items_tr46,Items_tr42,Items_sportball,Items_tr55,Items_dousedrive,Items_tr75
Lycanroc,1336739,4509,,1.2861e-06,0.0,,,,3.521e-07,,0.0,1.2050805214,,,,2.633e-07,,,0.0064020497,,,,,6.34689e-05,0.0822342914,0.0,0.0008364046,7.5e-09,,0.0,2.0964e-06,,0.0378649308,,0.0,,0.0,1.0691e-06,1.89e-08,0.0,0.0,,,0.00018679,,2.1e-09,0.0,,,,,0.0,,,4.36613e-05,,0.0157454536,0.0,4.27493e-05,,,,,,,,,,,,,0.0,,,,0.0,0.0007101286,,,,2e-10,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,3.9834e-06,,,,,,,,,,,,,,,,,,,,9.9758e-06,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,1336739,63887,0.0,0.0226148556,,,0.0006915765,0.0005128954,0.029628968,,0.0285626486,5.0643e-06,0.0,,1.24e-07,,6.069e-07,,2.27e-08,,0.0,,0.0,7.95878e-05,0.0034819343,0.0254327263,3.045e-07,0.0013432188,,0.0028115903,0.0217432422,0.0,5.8105152305,,0.0001560201,,2.3064e-06,65.7770100167,0.0086847167,8.18602e-05,7.9721e-06,,0.0,0.0005261281,,,0.0059844119,,,0.0,0.0,2e-10,,,,,7.3932e-06,0.0001996913,0.0032301226,1e-10,6.69e-08,0.0041693642,6.1978e-06,,0.0,,,,,,,0.0,,2e-09,,0.0,0.0,,0.0,0.0005346124,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0001568448,,,,,,1.93e-08,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,1336739,60246,0.0003023219,,,6.7265e-06,0.0,,0.0004102873,2e-10,0.0001252719,14.9569104396,,0.0,0.0053490254,0.0,0.0052457239,0.0,0.0027878346,,0.0,,2.24414e-05,0.0029851323,55.7657721479,3.19695e-05,0.0931468511,0.0040752251,0.0,8.789e-05,0.0011694431,,0.0032237403,,5.6633879919,0.0071595537,0.0002336896,1.1564706893,0.4928198882,9e-10,6.78101e-05,0.0,0.0011621641,0.0404278676,,,2.7051e-06,9.58637e-05,0.0003088181,0.0032908057,0.0,0.0,0.0,7.24875e-05,6.71e-06,,0.0006612498,0.0,1e-10,4.18536e-05,,9.08203e-05,0.0026969758,,0.0057026627,,,,0.0003578174,0.0,,2.31828e-05,,,,,9.454e-06,,,0.0,0.0,,,,,0.0033262959,0.0,,,,,0.0,1.772e-07,0.0,,2.0255e-06,3.7947e-06,,,0.0027209234,,1.0363e-06,,1.9e-09,0.0010667189,9.819e-07,,,0.0,,,,,,,,0.0068632374,,,,,,,,,,,,,,,,,0.0,,2.2212e-06,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,1336739,6547,,,,,,,2.5396153039,,,1e-10,,,,,,,0.0,,,,3.2077e-05,0.1416060359,0.0384883606,,0.0045899844,5.2297e-06,,0.0,0.0,0.0,0.0019168785,,1.1761767378,,0.0,0.006856555,2.4088e-06,0.0005773967,,,0.0,0.0,,,3.2e-09,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0019758127,,8.42e-08,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,3.6666e-06,1.3436446123,0.0015702519,5.38108e-05,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0029284104,,,,,,,,,,,0.0,,,,,,0.0334606564,,,,,,,,,5.17e-08,,,,,,,,,,,,,,,,,,,,,0.0004795842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,1336739,17261,0.0,,,,,,9.5266e-06,,0.0,0.0254350683,,,9.01062e-05,,3.847e-07,,3.0478e-05,,0.0,,3.31424e-05,0.029323037,0.0018241521,,0.0097267019,3.2176e-05,0.0,2.876e-06,0.0,,0.0127019994,,1e-10,,0.0002035904,0.0083734197,1.2208737919,,3.04941e-05,,,2.17988e-05,,,0.000202238,,,0.0,,,,2.60597e-05,,,0.2460740203,0.0,0.0,3.7220915578,,,0.0006803044,,0.0014629919,,,,,,,0.0,,,0.0,0.0,5.461e-07,,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0010860166,3.5926e-05,,,,,,,,,,,,,0.0,,0.0,,4.1387e-06,,,,,,,,,,,,,,0.0,,,,2.906e-07,4.65598e-05,,,,,0.0,,,,2.89224e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,1336739,27675,6.3146e-05,,,1.99918e-05,0.0002814543,,0.0211723418,,0.0084684858,0.1174982717,0.0,,0.0,0.0,1.29244e-05,,0.0021649363,7.01e-08,3.04631e-05,,0.0,0.014853653,0.0845038663,0.0,0.0176495315,0.0127843346,0.0001846259,9.736e-07,0.0005574366,0.0512909982,0.0118165583,,0.010821968,,,0.1161411735,0.0015051959,0.0029132384,1.1514e-06,0.0,0.0001055554,0.0017344727,0.0,,0.0042814034,1e-10,1.84e-08,0.0,0.0,9.13817e-05,,0.0021702892,,,4.1741e-06,0.0,0.0012558702,,,0.0,0.0181975116,,5.592e-07,,2.9e-09,,,,,0.0003927684,,3.2039e-06,0.0297259863,,,,,,0.0,,,,,,4.3116606492,0.0,,,,,,,,0.0005883687,4.4744e-06,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0001064803,,,,0.0,,,,,,1.3785e-06,1e-09,,,,8.60568e-05,,4.1877377716,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,,3e-08,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palossand,1336739,4619,,,,,0.0,,0.4956684019,0.0,4.5304e-06,1.5707e-06,,,,1.28885e-05,0.0,3.941e-07,,,0.0001104586,,,0.0886363006,0.0,,0.0,0.0002237275,,0.002904772,0.0007091393,,1.6697e-06,,0.0004916578,,,1.2923545223,1.60713e-05,0.0,,1.1762e-06,7.9119e-06,0.0001182834,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,8.8e-09,,0.0724302894,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.5e-09,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0672493557,,,,0.0,,0.0450972499,,,4e-10,,,,,,,,0.0042037043,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togedemaru,1336739,16245,,,,,0.0,,0.0031686132,,0.0,0.007888437,0.001027714,,,,0.0,,0.0,,0.0,,0.0116501255,0.029550608,0.0002297013,,0.001117174,0.0016303143,,0.2203107604,2.5751e-06,,0.0355163829,,0.0,,0.0,0.0116561288,0.0003542363,1e-10,0.0005378289,0.0,,1.2726e-06,,,,,,0.0,,,,,0.0,0.0,0.0,7.9421e-06,0.0,,,,0.6400542276,,0.0576485205,0.0,,,,,,,,0.0,,0.0003689849,0.0,,,,0.0108417533,,,,,,,,,,,0.0140820468,,,,,0.0,,0.0,,,,,0.0005949846,1.5e-09,,,,,,,0.0001177988,0.0,,,0.000706247,,,,,,,,,,,,,,,0.0,,,8.9406e-06,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,1336739,5680,0.0,1.73563e-05,,,,,3.23262e-05,0.0,0.0,0.0054019625,,,,,,,,,2.75e-08,,,0.0880616761,0.0543875162,0.0007312642,0.0006096823,5.8128e-06,0.0,0.0,0.0,,0.0005127542,,3.1983e-06,,,0.0158118316,3.86957e-05,0.0,0.0,,,3.96e-07,,,1.14e-08,,,0.0,,,,0.0,,,4.0560281518,7.4e-08,0.0,,,9.30271e-05,0.0,,0.0,,,,,,,,,0.0,,7.71949e-05,6.136e-07,,4.62e-08,,0.0,,,,,0.0,,7e-10,,,,0.0,,,,0.0063267373,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,1.3e-09,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,1336739,40307,0.0,5.42784e-05,,,0.0,4.7449e-06,0.69394079,,1.378e-05,0.0015055466,,,,,0.0,,1e-10,,0.002434977,,0.0,0.0104367867,0.033246381,,0.0001236765,0.0016466733,0.0,0.0,0.0007923475,8.0202e-06,3.2375653704,,0.0001866548,,0.0,82.7783064036,0.0,2.30625e-05,3.7e-09,,0.0,0.0066092753,,,0.0,,1.9348e-06,0.0001599019,7.5e-09,,,0.0,0.0099183788,,4.49562e-05,0.0018806576,0.0004631949,1.6724e-06,,0.0029964289,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0003372605,,,,0.0,,,,1.1093e-06,0.0,,,,,,1e-10,,,,,,,,0.0,,,,,,,,,,,0.072990932,,,,,,,0.0,1.893e-07,,,0.0,,,,,,,0.0002057324,,,0.0,,,,,,,,,,,4.66263e-05,,,,,,0.0,,,0.0333814582,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,1336739,16693,1e-10,,,0.0,0.0,,0.000430071,,0.0,0.0172878848,,,6.3417e-06,0.0,0.003888792,0.0,0.0,,0.0,,0.0201284037,0.0003466057,0.0835354416,,0.0038425437,0.0061102851,0.0,0.0020154328,8.96883e-05,7.00407e-05,0.0298756328,,0.3887453989,,,0.0091059929,0.1337570262,0.0,0.0,1.47e-08,4.8578e-05,0.0001730835,,,6.809e-07,,0.0,,6.155e-07,0.0,,,,0.00329448,0.0001877931,,0.0021247916,0.3923054739,3.07164e-05,0.000171964,1.93e-08,,1.44e-08,,,1.43426e-05,,,,6.03e-08,,0.0,0.0,,,,,,1.356e-07,,,,,,7.46e-08,,,,,,0.0,,,0.0,4.24322e-05,3.3e-09,,0.0007614097,,,2.38e-08,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.245e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunfisk-Galar,1336739,1089,,,,,,,5.9554e-06,,8.26e-08,1.46e-08,,,,,,,,,0.0,,4.5975e-06,0.0,0.0,0.0,0.0,0.0,,0.0,2.19e-08,,5.968e-07,,9.225e-07,,,1.4239163766,0.0,6.40819e-05,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.000262153,,,,,,,,,,,,,,,,1.35e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,1336739,266757,1.1417e-06,0.0,,2.26e-08,0.0003856525,4.36325e-05,0.2317723758,,0.0087662541,0.0259853129,0.0,,0.0,,0.00044374,,0.0007508953,2.6e-08,0.0680894632,1.4617e-06,0.0,0.3371685687,0.5555554592,0.0,0.0670902028,0.1023927573,6e-10,7.482747032,0.0895956202,0.0002983915,779.3635931886,,0.5059976728,,0.0003926357,7.4951962706,0.824955404,0.0472218236,0.0010268451,,0.0,0.051176939,1.824e-07,7.92025e-05,0.0004338136,,1e-10,5.1384e-06,0.0012961338,2.45513e-05,,0.010104337,0.0119806449,0.0,14.5179991495,2.0653743014,0.0006764634,0.0,6.8e-08,0.0002059902,0.0006908124,,0.0142462607,2.03e-08,,0.0328785137,,0.0,0.2399173204,0.0063592631,,0.0,,1e-10,0.0001943766,,0.0029137359,0.0,0.0001567543,,0.0004704626,0.0,,,0.000416777,0.0,,,,0.0,,,0.0,7.41379e-05,3.731e-07,,,8.424e-07,,,1.09481e-05,,,,0.0,,,,0.0150259567,,0.0,,,0.0,,0.0,,0.0,0.0,3.71486e-05,0.0,,,,,0.0,0.000364448,,2.02305e-05,,,0.0344675989,,,,0.0,,8.51345e-05,,0.0,0.0,,,,3.1941e-06,,0.0374380307,0.0,0.0001691191,9e-09,,5.9137e-05,,,,,,0.0001090801,,,,1.69848e-05,,,,,,0.0004743103,0.0,,,,,,,,,,,,,,0.0,,,0.0,,3.2785e-06,,1.987e-07,,0.0064173595,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarude,1336739,12568,,0.0,,,,,0.0028941519,0.0,3.1626e-06,0.0035115393,,,0.0002233523,0.0,0.0,,0.0,,9.6756e-06,0.0047064724,0.0,0.0008135706,7.5061373076,0.0018635746,0.0411890069,0.0059373425,,1.1572771169,0.0388644369,,0.8233597003,,0.0,,4.56e-08,10.4871946746,1.240614301,3.0933e-06,0.0,,,0.0021138622,0.0,,0.0,0.0,6.05337e-05,0.0,0.0,1.3e-09,,4e-10,,,3.5459046843,5e-10,0.0004522443,0.0,,0.000941729,0.0,,8.5571e-06,,,,0.0,,,0.0001385869,,,0.0,0.0088437956,0.0,,0.1036772788,0.0,0.0,,,,0.0255430875,,0.0,,,,,7.7621e-06,,,1.27737e-05,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,8.23e-08,,,,,,,,,,,0.0156156127,,,,,,,2.4e-09,,,,,,,,,,,,,,,,,,,,,,,2.886e-07,,,0.0,,,,,,,,,,,,,0.0015920319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0401098944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,1336739,58736,2.03204e-05,,,,0.000489647,1.2246e-06,0.0950044232,,0.0024852756,0.2933609713,,,0.0,0.0,5.11954e-05,,0.0003396017,6.218e-07,0.7488207624,0.0,0.0,0.2079872898,1.2389044332,0.0,0.0108273825,0.0178111914,0.0,0.0007063419,0.0479990283,0.0011425321,6.8701732277,,0.0820462197,,1.414e-07,4.3469448775,0.2661559215,7.46784e-05,2.9986e-05,1.9114e-06,0.0,0.0036666336,0.0,,8.01403e-05,,,0.0003027864,,3.4007886264,0.0,0.0002631379,0.0020685796,,0.1858423389,0.2736302184,0.0099178492,1.935e-07,,0.017507703,5.04744e-05,,8.5206e-06,0.0,0.0419767777,0.0,,1.911e-07,,0.0002261141,,,3e-10,0.0015816143,0.0010486911,,,,0.0028113294,,3.872e-07,,,,0.0,0.0,0.0,,0.0306654152,,,,,0.0,1.00548e-05,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,1.85885e-05,,,,,,0.0090794245,,,1.2336e-06,,,,0.0,,0.0007333676,0.0,3.79e-08,,0.0,,,,0.0,,,1.35825e-05,,,0.0,1.837e-07,0.002263893,,,,,,0.0,,,,0.0,,,,,,,,,,1.33873e-05,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,1336739,14783,0.0,,,,0.0,,5.9636e-06,,2.396e-07,0.1695584302,,,,6.55e-08,0.0,,,0.0003469611,0.2635456079,,0.0504220766,6.883e-07,0.0659969813,0.0,0.0001606567,0.0015953346,,0.0009923456,0.0003270865,,0.1470387007,,0.0,,,1.7677286037,0.001041706,3.2e-09,1.05336e-05,,0.0,0.0002490853,,,0.00029024,,0.0,5.3662e-06,,,,0.0,,,7.7402965857,5.23511e-05,3.4238e-06,,,0.0,,,0.0,,,,,,0.0031806115,0.0,,0.0,,,3.66e-08,,1.89e-08,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0050128121,,,,,0.2644065745,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtonator,1336739,3769,,,,,1.7096e-06,0.0,0.0114551604,,,0.011363798,,,,,1.223e-07,,7.68326e-05,,9.3929e-06,,0.0,8.47774e-05,0.0040154245,,0.0007641639,0.001334819,,0.0,0.0001963161,,0.0449638271,,0.0496125039,,0.0,0.0265996432,7.485e-07,0.0,,,,2.46145e-05,,,,,,4.1254e-06,0.0,0.0,,,,,2.37926e-05,0.0002399542,0.0,1.3e-09,,,0.0,,1.96711e-05,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,0.772999758,,,,,0.0,,,,0.0,,0.0020073641,,,,,,,,,,,,,,,,,,,,0.0,3.1e-09,1.21e-08,,,0.0010027339,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,3.2696e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,1336739,15727,0.0,,,,2.2e-08,,0.0401865124,,4.39e-08,1.55882e-05,8.458e-07,,,0.0,0.0,,1.356e-07,,4.7635e-06,0.0,0.0,5.4789e-06,0.0027552617,,3.23526e-05,5.87797e-05,,0.0060673675,0.000814932,0.0056478935,0.0084874384,,0.0106653227,,,2.6466219485,0.0241673585,,0.0,,1e-10,2.0545e-05,,,1.412e-07,,,6.136e-07,4.8578e-05,,,0.0,,,0.0,0.0,0.0,,0.0,1.12072e-05,0.0,,0.0,,7.0892e-06,,0.0,,,0.0104322251,,,,0.0,,,,0.0009489949,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001851637,,,,,,,1.93e-08,0.0,0.0,,,,0.0,,,,,,,,,0.0020847468,,0.0025393283,,,7.61e-08,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0004679214,0.0006925552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,1336739,29911,0.0,0.0,,,0.0,,0.0001377954,0.0,6.38917e-05,0.0264646282,,,,4.8e-09,1.62575e-05,4e-10,0.0002282273,,0.0033302522,,0.0127703517,0.0958476376,0.1275617968,0.0,0.0056584744,0.0023324984,0.0,0.0114316255,0.0042400953,,0.1145407703,,0.4326237023,0.0,2.22578e-05,0.3588736113,0.7914728741,4.13559e-05,0.0050882132,0.0,3.34501e-05,0.0013641845,,0.0,1.333e-07,,0.0,,0.0,1.4855e-06,0.007352405,0.0055797319,0.0,,0.0,0.0,1.277e-07,0.0005076734,0.0,0.0,6.1e-09,,0.0,,,7.7e-09,,0.0163677873,,0.0004115956,,,,0.0,,,,0.0,0.0,,,,,,4.61e-08,,,,2.4e-09,,0.0,,,0.0,0.0,0.0002332264,,,,0.0002048268,4.937e-07,,,2e-10,,,0.0,,,0.0,,,,0.0,,,0.0012647874,2.6e-09,,,2.03669e-05,,0.0,,2.2e-09,,,0.0,,,,,,,,1.8425e-06,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,1336739,11100,0.0,,,,1.644e-07,,0.0063246542,,0.0,0.487851524,,,2.00665e-05,,,1.1989e-06,0.000551413,,,,0.0003921068,9.1173e-06,0.0030226595,0.0,0.0037462422,4.08807e-05,0.0,3.663e-07,0.0,,0.0036344864,,0.3000269377,,,0.0122291709,0.0030518278,6.4143e-06,0.0,8.93e-08,0.0,0.0052020905,,,0.0,,1.906e-06,0.0,0.0,,,0.0,3.354e-07,,0.905249827,,,1e-10,,0.0045899062,0.0,,0.0,,,,,,,0.0018020331,,,,,,,,,0.0,,,,,,0.0,,,,,0.0064783011,1.14019e-05,,,,,,,0.000902868,,0.0,,,0.0,,,,0.0025192685,6.31587e-05,0.0,,,,,0.0,,,,,,,0.000143672,,,,,,,,,,,,,,,,,,,,0.0002130119,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0001279703,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
