pokemon,number_of_battles,Raw count,Items_petayaberry,Items_blackglasses,Items_cellbattery,Items_metalcoat,Items_chopleberry,Items_firememory,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_focussash,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_sitrusberry,Items_stickybarb,Items_floatstone,Items_mentalherb,Items_aguavberry,Items_ironball,Items_weaknesspolicy,Items_scopelens,Items_kingsrock,Items_adrenalineorb,Items_charcoal,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_nevermeltice,Items_leftovers,Items_mistyseed,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_flameorb,Items_wiseglasses,Items_prismscale,Items_liechiberry,Items_nothing,Items_silkscarf,Items_electricseed,Items_eviolite,Items_ringtarget,Items_metronome,Items_zoomlens,Items_blacksludge,Items_iapapaberry,Items_blunderpolicy,Items_fullincense,Items_powerweight,Items_choiceband,Items_lumberry,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_lansatberry,Items_pechaberry,Items_yacheberry,Items_figyberry,Items_poisonbarb,Items_rowapberry,Items_protectivepads,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_whippeddream,Items_keeberry,Items_sharpbeak,Items_damprock,Items_darkmemory,Items_enigmaberry,Items_heavyball,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_safetygoggles,Items_laxincense,Items_mysticwater,Items_chartiberry,Items_goldbottlecap,Items_payapaberry,Items_blackbelt,Items_shedshell,Items_muscleband,Items_bigroot,Items_focusband,Items_cobaberry,Items_shucaberry,Items_silverpowder,Items_twistedspoon,Items_passhoberry,Items_absorbbulb,Items_starfberry,Items_roseincense,Items_ejectbutton,Items_cheriberry,Items_lightclay,Items_jabocaberry,Items_apicotberry,Items_bindingband,Items_ejectpack,Items_softsand,Items_gripclaw,Items_luminousmoss,Items_chilanberry,Items_bugmemory,Items_lovesweet,Items_oranberry,Items_miracleseed,Items_utilityumbrella,Items_babiriberry,Items_occaberry,Items_smoothrock,Items_lightball,Items_pixieplate,Items_colburberry,Items_psychicmemory,Items_terrainextender,Items_electricmemory,Items_oddincense,Items_dragonfang,Items_groundmemory,Items_pinapberry,Items_magnet,Items_energypowder,Items_fightingmemory,Items_leafstone,Items_seaincense,Items_persimberry,Items_spelltag,Items_kasibberry,Items_griseousorb,Items_ghostmemory,Items_pokeball,Items_poisonmemory,Items_flyingmemory,Items_hardstone,Items_grepaberry,Items_tr69,Items_netball,Items_rawstberry,Items_deepseascale,Items_snowball,Items_steelmemory,Items_leppaberry,Items_tr68,Items_tr64,Items_tangaberry,Items_masterball,Items_icyrock,Items_diveball,Items_rindoberry,Items_waveincense,Items_fossilizeddrake,Items_bottlecap,Items_loveball,Items_aspearberry,Items_watermemory,Items_friendball,Items_healball,Items_tr43,Items_micleberry,Items_deepseatooth,Items_poweranklet,Items_electirizer,Items_machobrace,Items_hondewberry,Items_repeatball,Items_tr20,Items_firestone,Items_tr02,Items_galaricacuff,Items_powerbelt,Items_powerbracer,Items_fairymemory,Items_cherishball,Items_rustedsword,Items_parkball,Items_powerlens,Items_tamatoberry,Items_dousedrive,Items_dragonmemory,Items_dragonscale,Items_tr55,Items_ultraball,Items_adamantorb,Items_rockmemory,Items_chippedpot,Items_tr89,Items_destinyknot,Items_cloversweet,Items_habanberry,Items_shinystone,Items_tr67,Items_kebiaberry,Items_powerband,Items_kelpsyberry,Items_tr08,Items_grassmemory,Items_leek,Items_nestball,Items_fastball,Items_tr78,Items_tr07,Items_rarebone,Items_waterstone,Items_quickpowder,Items_metalpowder,Items_fossilizedfish,Items_thickclub,Items_rustedshield,Items_blukberry,Items_tr14,Items_souldew,Items_tr00,Items_ovalstone,Items_ribbonsweet,Items_tr41,Items_icememory,Items_chilldrive,Items_icestone,Items_shockdrive,Items_lustrousorb,Items_tr06,Items_pomegberry,Items_magmarizer,Items_tr09,Items_greatball,Items_duskstone,Items_luxuryball,Items_tr17,Items_strawberrysweet,Items_sunstone,Items_upgrade,Items_tr25,Items_burndrive,Items_tr50,Items_sachet,Items_fossilizedbird,Items_moonstone,Items_tr18,Items_moonball,Items_tr91,Items_crackedpot,Items_duskball,Items_flowersweet,Items_premierball,Items_quickball,Items_qualotberry,Items_tr99,Items_tr65,Items_protector,Items_tr94,Items_tr61,Items_tr86,Items_tr36,Items_tr23,Items_tr34,Items_tr72,Items_tr71,Items_tartapple,Items_sweetapple,Items_tr05,Items_tr54,Items_thunderstone,Items_tr83,Items_tr35,Items_tr96,Items_tr38,Items_tr76,Items_dawnstone,Items_tr97,Items_berrysweet,Items_tr37,Items_tr87,Items_tr26,Items_reapercloth,Items_timerball,Items_tr15,Items_tr10,Items_sportball,Items_dubiousdisc,Items_starsweet,Items_safariball,Items_dreamball,Items_tr03,Items_tr39,Items_levelball,Items_tr70,Items_tr24,Items_tr53
Umbreon,1485104,42490,,8.48716e-05,,,0.0,,0.027990225,0.0037626602,0.0,3.7303e-05,2.67e-08,1.1119e-06,0.0003176722,0.0032798182,0.0,0.0,6.76565e-05,0.0008014926,0.000218746,0.0017063972,0.0,,0.0031621564,0.0080509022,,6.5037e-06,0.0,0.0,0.0,,0.0154752281,0.0,2.71e-08,1.8199e-06,,31.2591945852,0.0,0.2374552778,0.004916101,4.1321e-06,0.0,0.0,0.0,,,0.0086283578,,0.0,1.01e-08,,,,,2.2614e-06,2.3e-09,0.0,,9.475e-07,0.0064623632,,,9.6581e-06,0.0,5.945e-07,,0.0,,,1.40222e-05,,,,1.65349e-05,,,,,0.0,0.0,,0.0,,,4.244e-07,,,0.0,,0.0,5.88e-08,0.0,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,4e-10,,0.0122650022,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,1485104,59180,9.89149e-05,0.0022458939,,,,,0.6990737256,0.0,,11.8610830106,0.0016462665,0.0009968913,0.0,0.0,,0.0002899425,0.001718142,0.0273204858,6.5131502121,1.9521e-06,0.0062681776,,0.0001545941,0.0025657933,0.0,0.0008800331,0.0,0.0,0.0,,8.1978e-05,9.115e-06,1.5986111788,0.0022104502,0.0,0.0071353138,,0.340052309,0.0,6e-10,,1e-10,0.0012652151,,0.0,0.0003815601,,,0.0133875295,0.0,3.1e-09,2.94241e-05,3.0824e-06,3.1451e-06,0.0385135546,,,0.0009198713,4.249e-07,0.0,0.0,,0.0,0.0,,1.2046e-06,,,0.0018392746,,0.0,,3.4771e-06,0.0,,,,0.0,1e-10,,0.0,,0.0,,,,0.0,,,,5.598e-07,,,,0.0,0.0,,0.0,,3.79806e-05,,,,0.0046306804,0.0,0.0,,,2.307e-07,0.0,0.0077701657,,0.0,,,,0.0,,,,,,,,1.2091e-06,,,,0.0,0.0006976155,2.22208e-05,0.0,,0.0003643807,3e-10,,,,,,,,0.0,,1.6e-09,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.343e-07,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,1485104,8098,,,0.0,,,,0.0003609889,,0.0,0.000500088,,,1.51e-08,0.0,,2.661e-07,0.522633754,0.0012769752,0.3263775912,0.0001070209,,,,7.03387e-05,0.0,7.99121e-05,,0.0,,,0.8049662339,,0.3625376054,0.0,,0.0071763451,,0.0005173165,0.0,0.0,,,0.0,,,1.2291e-06,,,0.0,,0.0,,0.0502121883,1.76e-06,2e-10,,,0.0,,,,,,4.8527e-06,,,,,,0.0,,0.0,,7.8301e-06,,,,,,,,,0.0,,,,3e-10,,0.0,,,,,,,0.0,,0.0,,,,0.0095157797,,,,0.0295599445,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,4.19e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,1485104,18292,,,,,,,2.554e-07,,,0.0893235912,0.0,0.0004848852,7.8362e-06,,,,0.0002429363,0.001030593,0.0102239416,9.46574e-05,,,0.0004633143,7.9114e-06,,0.0,0.0,0.0,,,2.1895135891,0.0,1.3e-09,0.0,,0.0005022801,,0.6905451922,,2.97459e-05,0.0,3.4654990787,,,,6.39424e-05,,,0.0,,3.91e-08,,,0.0,0.0,,,0.0701590455,0.0,0.0,,,,4.339e-07,7e-10,0.0872886474,0.0,,0.0,,,,7.9013e-06,,,0.000446026,,,,,,,,,,,0.0,,,,,,,,,0.0114718195,,1.1e-09,,5.2e-09,0.0,,0.0221203459,,,0.0,,,0.0,,,,,,,,,,,2.74025e-05,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,1485104,29966,5e-10,0.0,0.0,,,,0.0004328395,2.1e-09,,0.0558344058,0.0001920715,0.0,0.0001433644,0.0,,5.431e-07,0.0039500492,0.0196898468,0.4331728996,0.0017644892,,,0.0,0.0056164021,,0.0,0.0,6.07704e-05,,,0.028878723,0.0019867814,0.606868536,0.0,5e-10,0.2758756147,,0.0301559723,1.523e-07,0.0,,0.0,0.0004482355,,,0.0133914825,0.0,,0.0001817579,,,0.0,,1.9596e-06,0.0,,,0.0044233565,0.0105688335,,0.0,,9.38e-08,3.72e-08,0.0,3.186e-07,,0.0,,,0.0,,5.89119e-05,,,0.0,,,,,,,4.22173e-05,,0.0,,1.4344934426,,,0.0,0.0,0.0148367829,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0224683204,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,2.4e-09,9.1046e-06,,,,0.0,9.1647e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3e-10,,,,,,,0.0,,,,3.1043e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,1485104,6942,,0.0020269384,,0.0,0.0,,9.6125e-06,0.0,,0.0011825758,0.0,,0.0001799286,0.0,,,0.3205607761,0.0012013356,0.7661200318,0.0,,,,7.9e-09,0.0,0.0,,0.0,0.0018565051,,0.0003184712,,0.0,,,0.0002221935,,0.0325637266,0.0002069403,0.0,,0.0,,,,2.5519e-06,,,0.0,,,,,8e-10,,,,1.4223623379,0.2731732154,,,,0.0002964991,,0.0,2.84e-08,,,,,,,0.0,,,,,4e-10,,,,,,,,,,,0.0,,3.30243e-05,,,,,8.86397e-05,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,1485104,45244,,,,,,,2.7837178239,0.0,,0.0349129768,,0.0,0.0001259253,0.0144939865,,,0.0048508667,3.1e-09,0.2199173658,0.8414641158,,,0.0,0.0002397249,5.66e-08,5.51e-08,,,,,5.3714095305,0.0,0.0010074389,,,179.8876686713,,0.0,0.0026136877,0.0002083773,,1.9e-09,,,,5.5038766291,,0.0,0.0,,2.026e-07,2e-10,,0.0009584679,0.0,,,0.0421193889,0.0088807685,,0.0,,3.2e-09,0.0,0.0,3.2939e-06,,,0.0,,2.25e-08,,0.0010224249,,,,,,,,0.000624081,,3.31616e-05,,0.0,,0.0,0.0,,0.0,0.0,0.0003887526,,,,0.0,0.0,0.0,,,,,,,,4.2859e-05,,,0.0,,,,0.00015169,3.9e-09,,1.53879e-05,0.0,0.000889654,,,,,,0.0,,,0.0,1.53761e-05,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.1853819383,1.71415e-05,,,,,6e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drifblim,1485104,5347,0.0019718321,,,,,,7.288e-07,0.0,,0.0211127011,,0.0,0.0,0.0,0.0488711008,1.0497e-06,2.0462e-06,0.0003723873,0.0004800201,0.0159170471,,,,6.04897e-05,6.05e-08,0.0041689449,0.0,,,,0.0001850459,5.19438e-05,0.0,,1.355e-07,0.0003580682,0.3367145169,9.722e-06,2.519e-07,0.0,,0.0070361228,,,3.7471e-06,2.99966e-05,,2.489e-07,2.42863e-05,0.0,,,0.0,8.2e-09,5e-10,,,0.0,2.53943e-05,,,0.0,,,,1.381e-07,2e-10,,1.2488e-06,,,,0.0,,,,2.207e-07,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,1.1e-09,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.169e-05,,,,,,,,,,0.0,0.0,,6.48921e-05,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,1485104,16759,9.89149e-05,,2.8148e-06,,,,0.0001377686,0.0,,0.0134328944,6e-10,1e-10,0.0008987321,0.0,,0.1137116444,0.0027144731,0.0012725012,0.0491687626,1.72937e-05,,,1.11383e-05,0.000136897,,0.0,0.0,0.0002130639,,,0.0051835844,0.0,0.1714280959,0.0,,0.0599639076,,0.0040487875,3e-10,0.0,,0.0787224912,0.0,,,9.95672e-05,0.0,0.0,9.88e-08,,0.0,0.0,,0.0,0.0,,,1.3e-09,0.0,,,3.8e-09,7.1e-09,1e-10,,0.0,,,,,,,3.3262e-06,,,,,,0.0004378602,,,,1.1185e-06,,,,2.65e-08,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,0.0097015896,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,3.1071e-06,,0.0133264442,9.437e-07,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,1485104,261437,,0.0,,,,0.0,0.1118883278,0.0025931706,,0.0070170761,4.456e-07,0.0,0.0018058702,0.0002972251,0.0065219705,1.65004e-05,0.0515550715,0.2613650724,0.3496753136,0.0124107706,,0.0,0.0182258932,0.029187084,0.0,9.7443254989,9.4e-08,0.0003263909,1.7158e-06,7.268e-07,279.6011861379,0.0016618061,0.1687680489,0.0246290772,0.0,3.4265663717,0.0,0.0435484566,0.2934943327,0.0095126166,2.3654e-06,3.7e-09,4.33e-08,,0.0,0.011764156,0.0453095517,0.0,0.0526529622,,2.864e-07,0.0014249994,,0.0259735603,0.1592425303,,,0.8124329289,0.9422779791,0.0,,0.0,0.003993667,6.15867e-05,,0.0037320281,0.0,0.0,,0.0,0.0001321536,0.0296034827,0.038828982,0.0,,0.0,0.0,0.016861337,,0.0,0.0,0.000931636,9.721e-07,0.0,0.0,0.0,0.0004114003,,0.0,6.56508e-05,0.0002026462,0.0,0.0,,,0.0120327564,,0.0769885493,,0.0,,2e-10,,,,3.45022e-05,0.0001880126,,0.0,0.0,0.0001757734,,5.48419e-05,3.73604e-05,0.0,0.000320391,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0107981162,,,,,,,,0.0001843663,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0002277868,,1.67616e-05,3e-10,0.0,,,,1.11e-07,0.0,,,,,,,,,,4.4162e-06,,,,,,0.0004831706,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0008166566,,,,,,0.0003414523,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarude,1485104,22862,,0.000264077,0.0004369584,,9.27104e-05,,0.0045824474,9.21691e-05,,0.0040520819,,0.0,0.0,,3.67778e-05,0.0,0.1356544074,0.0015416485,4.3714520514,9.3293e-06,,,,0.00089107,,0.0179798102,,0.0,0.0,0.0,2.4060762278,0.0,4.146e-07,9e-10,,40.0255053172,3.546829047,0.4027276699,,2.99622e-05,0.0,4.08e-08,,,0.0,0.0652924565,,0.0,5.84e-08,,0.0,0.0,,3.3771e-06,1.434e-07,,,0.7043014147,1e-10,5.82e-08,,0.0,0.0,9.4e-09,0.0,1.50303e-05,,,0.0,,,,0.0,8.5326e-06,,0.0125838846,,0.0,3.22894e-05,,0.0,0.0,0.0,,0.0,,4e-10,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0294684427,,0.0,,,,0.0,0.0,,0.0,,,,,0.0,0.0187438797,,,0.0023002057,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0047480241,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,1485104,68644,,0.0002769531,5.40639e-05,,,,0.0545562871,5.594e-07,,0.2224691833,0.0,2.61907e-05,6.57759e-05,0.0013179485,0.0,7.94323e-05,0.007701619,0.0118160054,1.719193532,0.0026381905,,,0.0,0.0121908088,,0.0022910416,2.5832e-06,0.0306264506,4.616e-07,,8.8759859782,4.1983605721,0.525923474,2.7759e-05,0.0,3.9936630722,0.0,0.0766661613,3.21e-08,0.0001229494,7.13e-08,0.0001873822,,,1.9322e-06,0.0054876739,,,6e-10,,0.0041065315,0.0,0.0,0.0293182942,4.7e-09,,,0.0062402477,0.9320753872,,,,2e-10,0.0009438537,,0.0012922078,,0.0171085654,,0.0,,6.9085e-06,0.0066937941,,,1.11498e-05,,,,,,0.0002348708,7.60572e-05,,,,0.0,,0.0,0.0,8.22e-08,0.0012699609,0.0,,,0.0,,0.0001261158,,5.698e-07,0.0,,,,,0.0,,,,0.0,,,,0.0,,,0.001436794,,,,,0.0,0.0,,,2.639e-07,,,,,,,,,0.0003316453,,,0.0,,,,1.21e-08,8.46962e-05,,,,,0.0,,,,,,,0.0,,3.028e-06,,,,,,,,,,6.45169e-05,,,,,0.0,,4.4162e-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,4.24e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.721e-07,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,1485104,12405,0.0,,,,,,0.0040150534,,,0.0636885514,,,1.27e-07,0.0,,0.0,0.0008930147,6.27624e-05,0.0492731534,0.0,,,,1.56532e-05,,2.3874e-06,,4.422e-07,0.0,,0.0004222975,,0.0,,,0.1998923886,,0.0004154836,,1.377e-07,0.0,,,,0.0,1.95381e-05,0.0,0.0,0.0,,2.1e-09,0.0,,0.0,,,,1.3316975895,0.0112046813,0.0,2.471e-06,0.0,,,,0.0,2.52864e-05,,0.0,,,5.7949e-06,0.0,,,,,0.045579018,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,1485104,15941,,,,,,,0.0083482681,0.0024998414,,0.0036762046,,,0.0,0.0,,,0.002631464,7.07146e-05,0.0130368046,8.5933e-06,,,1.4e-09,0.0021052128,,7.965e-07,0.0,0.0,,,0.0081457546,0.0,0.0013321345,0.0,0.0,2.6974579955,,0.0628594895,8.933e-07,0.002231618,,,0.0,,0.0,3.479e-07,,,9.76e-08,,,,,0.0001304366,9.8e-09,,,0.0,0.0,,4.11e-08,2.63499e-05,0.0,0.0,,0.0,,0.0803539606,,,0.0,,1.4144e-06,,,,,,3e-10,,0.0,,0.0040497032,,,,,,0.0,,,0.0120927897,,,,,,,8.2346e-06,,,,,,,0.0,,,,,1.8e-08,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.6726e-06,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.6e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandelure,1485104,33982,0.0,6.6697e-06,,,,0.0,3.20449e-05,4.54067e-05,,0.2894812097,,2e-10,8.248e-07,3.462e-06,,0.0279248675,0.0072218358,0.0751097895,0.3287837551,0.0003376708,0.0,,5.922e-07,0.002078428,0.0,0.0055281464,0.0022250232,0.0,7e-10,0.0097690494,0.0910413393,0.0,0.4262565615,0.0001028294,,0.1629599493,,0.9489756416,0.005779652,7.16079e-05,0.0,0.0038953852,4.241e-07,,,0.0064645066,,,1.184e-07,0.0,0.0,0.0,0.0,2.64698e-05,0.163878885,,,2e-10,0.0,3.61521e-05,0.0,,5.98e-08,0.0,0.0,0.0005725588,,,,,,,6.44201e-05,,,,,,1e-10,,,,,0.0,,0.0,2.24e-08,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,3e-10,,,1.07922e-05,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.00043221,,,,0.0,,,,,,,,,,0.0001354667,0.0,,1.3e-09,,,,,,0.0034827587,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,1485104,9891,0.0082882726,0.0,,,,,0.0,0.0,,0.4838348637,,7.839e-07,0.0,,,0.0,0.0,0.0001191237,0.0268695568,0.0,0.0708381915,,5.0089e-06,4.57929e-05,0.0,0.0,5.7e-09,0.0,0.0,,0.019534835,5.29681e-05,0.0031495677,0.0051092515,0.0001820722,0.0001940222,,0.0787271056,0.0,2.81563e-05,0.0,0.0,4.1205e-06,,,0.0016776019,,,,0.0,0.0,,,,6.873e-07,,,0.0008411492,0.0,,0.0,,0.0179784666,0.0,0.0271506125,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0004471071,,,,,,,0.0,,0.0,,,,,,,0.0001439592,,0.0,,6.76686e-05,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0005624023,,,,,,,,,,,,,,,,,,,,0.0004938965,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuniclus,1485104,49767,,,,,,,2.2427048622,,,0.0076815583,2.36e-08,0.0010544835,0.0,0.0,0.6513989442,,6.4573819407,1.095e-05,36.600834256,0.0002015811,0.0087832329,,0.042536043,4.53567e-05,0.0,0.0017412008,1.85762e-05,,,,0.004356354,3e-10,0.0200139973,1.89e-08,,53.5260029554,0.0,0.3428984078,0.0,9.235e-07,,0.000680778,0.0,,5.2854e-06,0.0003801252,,5.1458178583,0.0,0.0,0.00054342,0.0,0.0,0.0008182698,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,3e-09,,0.0,,,,4.44e-08,,,,,,,,0.0001833638,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0032389405,,,,,0.0,,0.0133827742,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0390048509,,,,0.0031475834,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribombee,1485104,30198,0.0,,,,,,4.1079e-06,,,4.6881182363,,3.1058e-06,0.0,,,,0.0,5.01e-08,0.0001403158,7.4857e-06,0.0,,9.7561e-06,9.1388e-06,,,,0.0,,,0.6522051507,,0.0118846622,0.0,,0.000966091,0.0,0.0030641461,0.0,0.0,0.0,5.2e-07,4.26394e-05,,,1.6835e-06,,,0.0,0.0332661788,0.0,,0.0,0.0,0.0,,,0.0,1.5345e-06,,0.0009524869,0.0008998337,0.000140721,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,6.0077e-06,,0.0051713673,,,,,,0.0,,,0.0,,,,,0.0,1.3e-09,,,9e-10,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
